0,"['-73.47935661', '45.6677507']"
1,"['-0.13608912', '51.50413561']"
2,"['-0.33986', '51.54927']"
3,"['-117.228', '33.9431']"
4,"['151.20797', '-33.86751']"
5,"['-2.18091488', '53.00778835']"
6,"['80.3269', '26.4421']"
7,"['-122.419', '37.7793']"
8,"['-85', '50']"
9,"['-3.37723541', '51.49539123']"
10,"['0.52550292', '51.6028586']"
11,"['3.39583', '6.45306']"
12,"['12.5561399', '55.672']"
13,"['-73.56726563', '45.63697547']"
14,"['-0.77620348', '53.39360565']"
15,"['124.831944', '1.4593804']"
16,"['-97.73549055', '30.26585335']"
17,"['-121.4947', '38.577']"
18,"['-73.78297163', '40.7127028']"
19,"['9.00847', '50.06552']"
20,"['-82.6794', '27.7706']"
21,"['-105.28117444', '40.02597423']"
22,"['77.59295833', '12.03075833']"
23,"['11.25', '43.7833']"
24,"['81', '7']"
25,"['35.89897363', '-6.39046719']"
26,"['-1.28948809', '52.88314014']"
27,"['-79.7164011', '43.7742911']"
28,"['36.8219462', '-1.2920659']"
29,"['3.41778', '6.44213']"
30,"['8.57', '53.55']"
31,"['-0.13608912', '51.50413561']"
32,"['28.06045532', '-26.21659308']"
33,"['33.7767', '-13.9503']"
34,"['-118.2445', '34.0564']"
35,"['36.8167', '-1.28333']"
36,"['-117.297', '33.122']"
37,"['77.17969764', '28.52158929']"
38,"['11.10659', '59.28324']"
39,"['-115.26506647', '36.16945545']"
40,"['-0.1094', '51.5141']"
41,"['-0.77618598', '53.39361775']"
42,"['145.01208', '-37.84792']"
43,"['-79.3872', '43.648']"
44,"['-73.71581', '40.85683']"
45,"['-84.3889', '33.7566']"
46,"['-79.2667', '43.8667']"
47,"['-118.35283756', '33.79715913']"
48,"['104.16412354', '2.82864513']"
49,"['-73.56726563', '45.63697547']"
50,"['122.1572', '-0.9416']"
51,"['-0.77619829', '53.39363133']"
52,"['77', '21']"
53,"['-73.56725453', '45.75975883']"
54,"['-6.28034668', '53.36853317']"
55,"['72.8764', '19.0627']"
56,"['-73.91345039', '40.75756261']"
57,"['18.4667', '-34.0167']"
58,"['6.76290035', '51.2795282']"
59,"['-90.6769', '35.83235']"
60,"['121.0443', '14.5789']"
61,"['72.83', '21.17']"
62,"['77.3208', '28.3922']"
63,"['153.028', '-27.4678']"
64,"['-0.1094', '51.5141']"
65,"['-118.2445', '34.0564']"
66,"['21.008333', '52.232222']"
67,"['2.3422747', '48.8475897']"
