,coordinates,label
147,"18.38778734,-34.01369848","0
"
148,"-123.3645,48.4287","0
"
149,"-73.47935661,45.6677507","0.021645021645021644
"
150,"0.63964,51.80099","0.2
"
151,"-97.73549055,30.26585335","0
"
152,"-123.12713019,49.24963985","0.005681818181818177
"
153,"9.16986233,45.50477609","0
"
154,"75.8167,26.9167","0.3333333333333333
"
155,"55.2741,25.1994","0.1431818181818182
"
156,"103.856,1.29306","0.35
"
157,"-4.309626,55.852472","0
"
158,"-123.3645,48.4287","-0.15000000000000002
"
159,"-81.3221,28.7572","0
"
160,"106.8319407,-6.12831341","0.5
"
161,"-0.00198492,-0.00852319","0
"
162,"-0.07863252,51.50503489","0.5
"
163,"-73.47935661,45.6677507","-0.25
"
164,"101.7109,3.1581","0.25
"
165,"3.39583,6.45306","-0.125
"
166,"-71.5,41.7","0
"
167,"75.73236465,29.12965255","0
"
168,"-0.13355317,51.49594393","0.43750000000000006
"
169,"75.8167,26.9167","0
"
170,"-0.14367274,51.55141874","-0.14583333333333331
"
171,"151.2222147,-33.85945782","0.85
"
172,"3.31273779,6.46354851","0
"
173,"-0.2248,51.5308","0.2090909090909091
"
174,"-92.03909,30.22874","0.10250000000000001
"
175,"-118.1488,34.1467","0
"
176,"2.17393041,41.38359494","0.2
"
177,"0.81552029,51.6301173","0
"
178,"-0.13608912,51.50413561","-0.14583333333333331
"
179,"144.85776,-37.73341","0.1
"
180,"-118.50113056,34.20113889","0.25
"
181,"55.2741,25.1994","1
"
182,"-122.41478744,37.74107121","0
"
183,"133.68232727,-32.12074612","0.2
"
184,"8,9","0.2066666666666667
"
185,"77.597645,12.971117","0
"
186,"-1.22701,51.7473488","0.3111111111111111
"
187,"2.36556752,48.82359481","0.0028409090909090884
"
188,"-117.74975394,34.057913","0.21212121212121213
"
189,"-73.56726563,45.63697547","0.33
"
190,"84.9151306,26.6516991","0.125
"
191,"77.5945627,12.9715987","0.2
"
192,"78.1667,11.65","0.125
"
193,"-123.04986139,49.22826439","0.27999999999999997
"
194,"3.9167,7.3964","0.05000000000000002
"
195,"-74.00784552,40.65373341","0
"
196,"-0.13608912,51.50413561","0.11285714285714285
"
197,"-3.2994352,57.6514268","0.13636363636363635
"
198,"-2.185,52.257","0
"
199,"-1.13333,52.6333","0.185
"
200,"-2.27736664,53.43743662","-0.25
"
201,"114.27789131,22.39471522","-0.2
"
202,"13.401251,52.518391","0
"
203,"11.1,43.8833","-0.125
"
204,"135,-25","-0.34464285714285714
"
205,"78.5698,25.4486","0.5
"
206,"-52.32130856,4.9401287","0
"
207,"-1.5443356,53.7763925","0
"
208,"103.7123,1.3513","0.16
"
209,"-74.0064,40.7142","0.13636363636363635
"
210,"11.1,43.8833","-0.125
"
211,"-4.09719229,50.40954316","0.27777777777777773
"
212,"-1.13333,52.6333","0.125
"
213,"-1.49328634,51.99618921","-0.3625
"
214,"28.04719473,-26.30990865","0.2
"
215,"174.7657,-36.8473","0.33939393939393936
"
216,"-84.09863249,34.03884441","0.29609375
"
217,"3.9167,7.3964","0.05000000000000002
"
218,"28.1869,-25.7533","0.2857142857142857
"
219,"3.9167,7.3964","0.05000000000000002
"
220,"3.9167,7.3964","0.05000000000000002
"
221,"-64,-34","0.08333333333333333
"
222,"16.56953556,59.60588944","-0.5
"
223,"84.9151306,26.6516991","0.07840909090909091
"
224,"3.9167,7.3964","0.02500000000000001
"
225,"84.9151306,26.6516991","0.16
"
226,"172.64557743,-43.54035917","0
"
227,"73.8567,18.5203","0
"
228,"0.4693,51.7359","-0.23863636363636365
"
229,"4.8089166,52.48034239","0.16666666666666666
"
230,"49.59154649,53.51627774","1
"
231,"3.9167,7.3964","0.05000000000000002
"
232,"-2.58333,51.45","0.3181818181818182
"
233,"11.1,43.8833","0.04464285714285714
"
234,"72.8419507,19.0464643","-0.1125
"
235,"3.9167,7.3964","0.05000000000000002
"
236,"3.9167,7.3964","0.05000000000000002
"
237,"3.39583,6.45306","-0.275
"
238,"4.84969,52.50772","0.17857142857142858
"
239,"3.9167,7.3964","0.05000000000000002
"
240,"55.2741,25.1994","0.25
"
241,"12.64418,41.74178","0.13636363636363635
"
242,"-73.56726563,45.63697547","0
"
243,"-118.2445,34.0564","0.13636363636363635
"
244,"-0.21342409,51.29511849","0.08333333333333333
"
245,"150.78706,-34.20191","-0.06
"
246,"-73.56725453,45.75975883","0.2333333333333333
"
247,"16.3731,48.2083","-0.1
"
248,"3.9167,7.3964","0.05000000000000002
"
249,"3.9167,7.3964","0.05000000000000002
"
250,"0.4693,51.7359","0.05
"
251,"-121.5705372,37.00748787","0
"
252,"-0.1094,51.5141","0
"
253,"3.39583,6.45306","-0.275
"
254,"144.9661,-37.8156","0
"
255,"3.9167,7.3964","0.05000000000000002
"
256,"34.15,0.43333333","0.2
"
257,"28.1869,-25.7533","0
"
258,"-77.4371,37.5373","0
"
259,"3.08829346,6.66109353","0.2875
"
260,"-73.47935661,45.6677507","-1
"
261,"3.9167,7.3964","0.05000000000000002
"
262,"-2.37082691,53.56086232","-0.1875
"
263,"-0.77619451,53.39361029","0
"
264,"72.83,21.17","0
"
265,"101.6928451,3.0707418","0.25
"
266,"-1.8987,52.4806","0
"
267,"-115.18349,36.08803","1
"
268,"3.9167,7.3964","0.05000000000000002
"
269,"118.76811385,32.05335255","0
"
270,"103.7123,1.3513","0.16
"
271,"-96.7977,32.7774","0
"
272,"-0.1094,51.5141","-0.25
"
273,"151.20797,-33.86751","-0.2625
"
274,"7.4833,9.0667","0.36250000000000004
"
275,"3.9167,7.3964","0.05000000000000002
"
276,"3.9167,7.3964","0.05000000000000002
"
277,"3.9167,7.3964","0.05000000000000002
"
278,"3.9167,7.3964","0.05000000000000002
"
279,"3.9167,7.3964","0.05000000000000002
"
280,"3.39583,6.45306","0
"
281,"-0.13608912,51.50413561","-0.5
"
282,"-2.22788,53.32679","0.31249999999999994
"
283,"5.26970307,51.22695861","0.12222222222222222
"
284,"60.6779,56.84013","0.10000000000000002
"
285,"-74.1849,40.7352","0.13636363636363635
"
286,"3.9167,7.3964","0.05000000000000002
"
287,"3.9167,7.3964","0.05000000000000002
"
288,"-6.2591,53.3476","0
"
289,"-0.0972655,51.525004","0
"
290,"7.4833,9.0667","0
"
291,"-77.50268722,38.23106626","0
"
292,"-81.29738163,28.65283203","-0.25
"
293,"-73.56725453,45.75975883","0
"
294,"0.11732971,52.20449637","-0.016666666666666673
"
295,"-74.0064,40.7142","0.28125
"
296,"-0.4305789,51.57275627","-0.3888888888888889
"
297,"-74.0007613,40.7207559","0.05
"
298,"-0.15298284,51.56119957","0.6849999999999999
"
299,"7.4833,9.0667","0.037500000000000006
"
300,"-73.8516994,42.6145104","0
"
301,"-0.1094,51.5141","-0.125
"
302,"-73.56725453,45.75975883","0.25
"
303,"7.0642,4.8164","0
"
304,"14.48831076,35.90114914","0.05000000000000003
"
305,"3.39256333,6.52982165","0.43333333333333335
"
306,"13.1605,-8.9394","0.25
"
307,"-87.6461792,41.90023277","0.08333333333333333
"
308,"-77.35160753,38.8650759","0.33888888888888885
"
309,"85.32024264,27.70301223","0
"
310,"15.45,41.7833","0.125
"
311,"-4.96263989,36.49729342","-0.1
"
312,"0.55324,51.87776","0.6416666666666667
"
313,"85.35074472,27.70528247","0
"
314,"2.3492,48.8573","0
"
315,"0.37338294,50.81937006","0.25
"
316,"0.04968474,51.5447969","-0.03125
"
317,"-0.41182,51.5705","0.5333333333333333
"
318,"-59.62888893,13.13367543","0.75
"
319,"-80.9318507,46.4916824","0.025
"
320,"36.81666667,-1.28333333","0
"
321,"-0.77614997,53.39362303","0
"
322,"3.39583,6.45306","0.25
"
323,"21.008333,52.232222","0
"
324,"-80.28091469,25.97734614","0.5
"
325,"-82.5122,40.0675","0
"
326,"-0.1155349,53.8319973","0
"
327,"-73.56725453,45.75975883","0
"
328,"3.39583,6.45306","0.32857142857142857
"
329,"-73.56726563,45.63697547","0.16666666666666666
"
330,"-0.97835544,51.45134762","0
"
331,"-76.9434,-12.221","0
"
332,"-80.109346,26.1609172","0.5625000000000001
"
333,"112.743,-7.2647","0.35
"
334,"100.53376524,13.74472161","0
"
335,"-74.0064,40.7142","0.2
"
336,"-73.8516994,42.6145104","0
"
337,"-73.994508,40.763186","0
"
338,"152.35228,-24.86792","0.0088095238095238
"
339,"-74.0064,40.7142","0.13636363636363635
"
340,"-75.1651,39.9527","0.5
"
341,"12,43","0.09444444444444444
"
342,"78.33496923,17.51029703","-0.06666666666666664
"
343,"-79.3872,43.648","0.03333333333333333
"
344,"151.20724931,-33.88894011","0
"
345,"-73.56726563,45.63697547","0.016666666666666663
"
346,"-70.1004,41.2815","0.5
"
347,"5.3,6.8","-0.033333333333333326
"
348,"-1.6159,53.7876","0.16884920634920633
"
349,"-1.774445,51.560602","-0.025
"
350,"-77.45926676,37.59054879","0.39
"
351,"-97.21893343,34.72174589","-0.2318181818181818
"
352,"-1.15946732,50.65433016","-0.125
"
353,"7.5103,6.4527","0.4666666666666667
"
354,"-1.315,34.8782","0.5
"
355,"-74.30082,40.99829","0
"
356,"114.19142917,22.28607268","0
"
357,"-36.02622916,56.27888808","0
"
358,"-80.28091469,25.97734614","0.5166666666666666
"
359,"-73.56726563,45.63697547","0.07222222222222223
"
360,"101.7109,3.1581","0
"
361,"-2.36132,51.38503","0.4375
"
362,"13.542336,-12.4291095","0
"
363,"151.20615,-33.87172","0.5
"
364,"138.517,-35.0167","0.25
"
365,"-6.2591,53.3476","0
"
366,"-73.47935661,45.6677507","0.5
"
367,"-79.38512824,43.6408863","0
"
368,"-0.1094,51.5141","0.35333333333333333
"
369,"7.4833,9.0667","0.08333333333333333
"
370,"-77.5820908,35.262204","0
"
371,"121.41127545,14.28008729","0
"
372,"72.83,21.17","0.18181818181818182
"
373,"-80.2802,26.0814","0
"
374,"-112.0777,33.4482","0
"
375,"6.69821555,6.23239923","0.6
"
376,"-73.73022,45.43897","0.35
"
377,"-73.8516994,42.6145104","0.3365740740740741
"
378,"77.27617188,28.53861577","0.1375
"
379,"30.9998,-29.8502","-0.21875
"
380,"3.39583,6.45306","-0.5
"
381,"24.67250997,60.14265708","0
"
382,"-79.7164011,43.7742911","0
"
383,"-1.6167,6.6667","0.17784090909090908
"
384,"31.1667,-26.4","0.24
"
385,"-0.1094,51.5141","0.13636363636363635
"
386,"-6.36137366,32.33418445","0
"
387,"-0.6966161,52.3025682","0.3
"
388,"54.3667,24.4667","0.025
"
389,"77.05416667,28.6","-0.25
"
390,"0.1432236,52.218153","0.25
"
391,"-73.56726563,45.63697547","-0.046666666666666676
"
392,"2.3567407,48.85810108","0
"
393,"77.18976,28.75995","0
"
394,"-94.7891017,29.2957383","0.3333333333333333
"
395,"-76.8907,38.81605","-0.8
"
396,"7.4833,9.0667","0
"
397,"-8.24389,53.41291","0.525
"
398,"-99.12826538,19.47743572","-0.27777777777777773
"
399,"77,21","0
"
400,"77.2089,28.6139","0.13636363636363635
"
401,"-80.3515607,25.7777662","0
"
402,"-121.57834142,37.01910538","0.13636363636363635
"
403,"-80.22482778,25.83180278","0.16666666666666666
"
404,"3.39583,6.45306","0
"
405,"115.4817152,-8.75941794","0.3125
"
406,"-77.44398147,37.56314508","0.20117310803345959
"
407,"-77.51326561,38.29148603","0
"
408,"-81.98349267,28.001631","0.5
"
409,"-75.06532142,40.18018018","0.4166666666666667
"
410,"7.4833,9.0667","0.35833333333333334
"
411,"-74.0064,40.7142","0.13636363636363635
"
412,"18.38893149,-33.91716276","0.235
"
413,"-74.52561356,40.49930348","0.13333333333333333
"
414,"103.84686883,1.28909225","0
"
415,"-73.47935661,45.6677507","-0.4761904761904762
"
416,"-0.1094,51.5141","0
"
417,"120.5887,15.145","0
"
418,"28.0234394,-26.0901508","0
"
419,"-75.9913565,36.8933124","-0.12812500000000002
"
420,"-0.1094,51.5141","0.3
"
421,"-95.26248,29.863","-0.1
"
422,"-0.1792583,51.5191264","-0.1
"
423,"75.8655,22.7253","-0.11538461538461539
"
424,"-2.40047,53.52159","0.34765625
"
425,"-80.13085376,25.78115433","0
"
426,"-99.13547516,19.43757829","-0.10277777777777779
"
427,"-73.47935661,45.6677507","0
"
428,"7.4833,9.0667","0.2333333333333333
"
429,"-95.18046,30.05091","0.13333333333333333
"
430,"24.55718994,46.54563867","0
"
431,"12.56756,55.67567","0.26666666666666666
"
432,"-4.309626,55.852472","-0.16666666666666666
"
433,"-73.8516994,42.6145104","-0.2
"
434,"103.83196347,1.3051324","0
"
435,"3.3556785,6.5828447","-0.04999999999999999
"
436,"-73.47935661,45.6677507","-0.016666666666666666
"
437,"5.3387,60.3765","0.45
"
438,"-0.2,5.55","0.15833333333333333
"
439,"120.9897433,14.6123328","-0.0625
"
440,"-73.95,40.65","0
"
441,"-118.2445,34.0564","0
"
442,"-84.3889,33.7566","0.390625
"
443,"-71.0565,42.3577","0
"
444,"-122.79679,49.02392","0.41250000000000003
"
445,"-80.4833,43.45","-0.2333333333333333
"
446,"-80.1335,25.8138","0.1875
"
447,"-87.632496,41.883222","0
"
448,"-7.08056729,53.44698348","0
"
449,"-1.38333,50.9833","0
"
450,"104.00166667,1.38333333","-0.041666666666666664
"
451,"-79.9975,40.4411","0.16666666666666666
"
452,"-73.8531,40.7493","0.5
"
453,"-79.977498,40.4638992","-0.0625
"
454,"-73.972216,40.77274259","0
"
455,"122.47337982,10.69119532","0.041666666666666664
"
456,"3.88333,51","0
"
457,"-73.28185,41.42005","0.35625
"
458,"-82.1797,41.4679","0
"
459,"77.24889832,28.54119842","-0.03281250000000001
"
460,"151.18504818,-33.89985695","-0.13333333333333333
"
461,"-74.5,40","0.06818181818181818
"
462,"-73.56725453,45.75975883","-0.015909090909090914
"
463,"21.008333,52.232222","0
"
464,"-73.78407219,40.71231714","0.3125
"
465,"-76.79378372,17.96397194","0.2333333333333333
"
466,"-97.1397,49.8873","-0.20625
"
467,"-95.56404977,29.56304729","0
"
468,"-79.34590195,43.70289602","1
"
469,"55.22157171,25.17683057","-0.1
"
470,"3.39583,6.45306","0
"
471,"-84.3889,33.7566","0
"
472,"-84.31398,34.01834","0
"
473,"-0.77617,51.57307","0.21666666666666667
"
474,"-0.2200003,5.6129644","0.0890151515151515
"
475,"-80.3515607,25.7777662","-0.03333333333333333
"
476,"-76.03962428,42.10933757","0
"
477,"-80.1949274,25.857429","0.11363636363636363
"
478,"77.3208,28.3922","-0.05
"
479,"-80.8034,34.9896","0
"
480,"-2.36132,51.38503","0
"
481,"7.4833,9.0667","0.35833333333333334
"
482,"-73.96555556,40.76916667","-0.25
"
483,"-1.34571871,54.23131331","0.2
"
484,"-99.12826538,19.47743572","0.3166666666666667
"
485,"-1.139463,51.569844","-0.033333333333333326
"
486,"-73.56725453,45.75975883","0.06818181818181818
"
487,"-0.12450144,51.50013926","0
"
488,"-73.94111111,40.68333333","0.2
"
489,"-1.51231527,54.18166382","0
"
490,"19.83384416,45.30524952","-0.5
"
491,"-4.2267587,57.477325","-0.20833333333333334
"
492,"-105.479324,44.3016878","0.27999999999999997
"
493,"-123.07571411,49.23587045","0.06875
"
494,"-123.07571411,49.23587045","0.05833333333333335
"
495,"-87.260607,33.186328","0
"
496,"-43.18069722,-22.96703333","0.2
"
497,"-93.53481,43.41928","-0.061607142857142846
"
498,"-0.26862,5.60305","0.13636363636363635
"
499,"77.2045876,28.56010567","0.8
"
500,"-0.77620677,53.39364194","0
"
501,"-72.66085621,41.55127542","0
"
502,"3.46949356,6.44520397","0
"
503,"-60.667,11.25","0.321875
"
504,"13.4525,52.4761","0
"
505,"35.23424579,31.75177588","0.25
"
506,"-73.56725453,45.75975883","-0.125
"
507,"34.45,31.5167","0
"
508,"100.4796,6.9983","0.8
"
509,"-77.22257774,38.91711549","0
"
510,"103.66079,1.30303","0
"
511,"-111.58,40.1332","0
"
512,"-74.0064,40.7142","0
"
513,"-3.16295,55.9692917","-0.125
"
514,"-0.1094,51.5141","0.3444444444444444
"
515,"-81.32806152,48.47593351","0.16666666666666666
"
516,"-4.309626,55.852472","0.24242424242424243
"
517,"-77.056,38.9284","0.37152777777777773
"
518,"-73.56725453,45.75975883","0.13636363636363635
"
519,"-8.46977234,51.92003951","0.25
"
520,"-73.47935661,45.6677507","0.06000000000000001
"
521,"-80.1418,26.1358","0
"
522,"-80.84333333,35.22694444","0
"
523,"-95.14124102,29.54485019","0
"
524,"-74.20369289,40.72239028","0
"
525,"-1.88,50.72","0.06944444444444443
"
526,"-0.0211,51.5836","0.30000000000000004
"
527,"-86.7939987,35.9118385","0.2
"
528,"73.98018,15.27471","0.1875
"
529,"-79.3278,43.6913","0.3
"
530,"-0.198,51.582","0.5
"
531,"-80.8480202,35.22734042","0
"
532,"86.21638889,22.8275","0.8
"
