word,frequency
never,442.0
partying:,442.0
black,440.0
making,440.0
ever,440.0
@cbsnews:,438.0
might,438.0
guys,436.0
call,435.0
hand,430.0
italy,429.0
timely,428.0
test,425.0
wealth,424.0
written,423.0
bad,423.0
force,422.0
media,419.0
bait,418.0
put,418.0
royal,418.0
everything,418.0
deflection,416.0
covid-19,416.0
castle,414.0
obscene,414.0
@xhakaed:,413.0
which,413.0
windsor,413.0
best,412.0
photographer,411.0
situation,411.0
ass,409.0
die,407.0
while,407.0
point,406.0
noticed,405.0
legend:,403.0
omg,402.0
song,401.0
hope,399.0
saying,397.0
guy,396.0
listen,396.0
co/ttrscyz6js,396.0
testing,395.0
remember,395.0
asked,393.0
does,393.0
papers,388.0
via,385.0
may,383.0
trip,383.0
today's,382.0
blame,382.0
sorry,380.0
support,378.0
actually,376.0
3,375.0
believe,372.0
something,372.0
social,372.0
watch,371.0
school,365.0
without,363.0
through,362.0
having,362.0
leader,361.0
cause,361.0
closed,358.0
feel,356.0
made,356.0
absolute,355.0
@jabinbotsford,355.0
touch,354.0
picture,352.0
response,351.0
lets,345.0
long,345.0
soon,345.0
pm,341.0
use,340.0
food,340.0
serious,339.0
kill,337.0
years,336.0
better,336.0
wapo,335.0
literally,334.0
4,334.0
epidemic,333.0
times,333.0
working,331.0
march,328.0
@davidjollyfl:,328.0
@narendramodi,327.0
enough,327.0
proof,325.0
message,325.0
2020,323.0
violence,322.0
post-corona,321.0
americans,321.0
thats,317.0
talking,317.0
al,316.0
fact,316.0
says,314.0
looking,312.0
hands,312.0
shar,312.0
@amy_siskind:,311.0
together,311.0
aint,310.0
symptoms,310.0
students,310.0
city,310.0
canada,309.0
r,309.0
dogshit,307.0
@chrisdelia:,307.0
dey,307.0
sent,307.0
free,306.0
start,306.0
s,305.0
setting,305.0
public,303.0
govt,302.0
political,302.0
psa,301.0
done,301.0
post,301.0
emergency,300.0
care,300.0
follow,299.0
doctor,298.0
always,298.0
wuhan,296.0
domestic,296.0
et,295.0
own,295.0
tactic,295.0
body,295.0
jojos,294.0
week,294.0
raci,293.0
@mrjoncryer:,292.0
co/swpumqmjjj,291.0
@brettsvergara:,291.0
ringtone,291.0
read,290.0
outbreak,290.0
@mollyjongfast:,288.0
patients,287.0
needs,285.0
excuse,284.0
talk,282.0
next,282.0
until,282.0
save,281.0
came,281.0
used,280.0
ive,279.0
ur,279.0
ex,278.0
idea,278.0
ok,278.0
nothing,278.0
longer,278.0
self,275.0
beer,274.0
worth,274.0
catch,273.0
5,273.0
isnt,272.0
confirmed,271.0
heard,271.0
old,270.0
tryna,270.0
@hey_ciara:,269.0
team,269.0
risk,269.0
co/5w0uk2qvxd,269.0
dc,268.0
task,268.0
wow,267.0
taking,267.0
give,265.0
imagine,265.0
20,263.0
youre,262.0
lagos,262.0
thank,261.0
important,261.0
"2020:",259.0
thinking,257.0
break,257.0
wrong,257.0
sanitizer,256.0
death,250.0
avoid,250.0
killing,250.0
probably,250.0
workers,250.0
human,249.0
covid,249.0
online,249.0
stupid,247.0
damn,247.0
lot,246.0
sure,246.0
yourself,245.0
cop,245.0
hold,244.0
seems,244.0
isolation,244.0
baby,242.0
withou,241.0
@timothynoah1:,241.0
didnt,240.0
yesterday,240.0
coronavirusupdate,239.0
hard,238.0
general,236.0
infected,236.0
funny,236.0
iran,235.0
check,235.0
watching,235.0
wants,234.0
supposed,234.0
american,234.0
broke,233.0
nation,232.0
o,232.0
wash,232.0
defend,232.0
state,231.0
chloroquine,231.0
shot,231.0
hospital,231.0
book,230.0
maybe,230.0
reminds,230.0
dies,230.0
wont,229.0
myself,229.0
pls,228.0
part,227.0
such,227.0
bro,227.0
wasnt,225.0
gone,224.0
seriously,224.0
twitter,223.0
definitely,223.0
toilet,222.0
reasoning,222.0
far,222.0
cancelled,221.0
he's,220.0
@redtraccoon:,220.0
leave,220.0
okay,220.0
modi,219.0
@daniela_florezz:,219.0
l,219.0
wait,218.0
giving,217.0
close-up,216.0
thanks,216.0
medical,216.0
countries,215.0
culture,214.0
12,214.0
misinformation,214.0
won't,214.0
gets,213.0
focused,213.0
b,213.0
yet,212.0
another,212.0
open,212.0
hear,211.0
doctors,211.0
theres,211.0
curfew,211.0
finally,210.0
face,209.0
class,208.0
@catturd2:,208.0
yes,208.0
co/aszij,208.0
job,207.0
mere,207.0
short,206.0
business,205.0
th,205.0
distancing,205.0
few,205.0
error,205.0
@teapainusa:,204.0
ill,203.0
bc,203.0
singing,203.0
staff,202.0
plannednot,202.0
@sethabramson:,202.0
doesnt,202.0
young,201.0
left,201.0
let's,201.0
n,201.0
co/xreh1klvt8,200.0
waiting,199.0
oh,199.0
little,199.0
dr,199.0
worse,199.0
words,198.0
pakistan,198.0
inside,198.0
told,196.0
stats,194.0
dumb,194.0
@briankarem:,194.0
pres,193.0
covid_19,192.0
deaths,192.0
send,192.0
corn,192.0
accuracy,192.0
somewhere,191.0
immune,191.0
w,190.0
vir,190.0
beat,190.0
medicine,190.0
lost,189.0
that's,189.0
lockdown,188.0
place,187.0
incorrectness,187.0
months,187.0
@corona,187.0
@dineshdsouza:,187.0
endearing,187.0
anything,187.0
qualities,187.0
tweet,186.0
started,186.0
co,185.0
notice,185.0
dying,185.0
miami,185.0
speech,185.0
c,185.0
saw,184.0
number,182.0
'corona',182.0
i've,182.0
outside,182.0
hit,181.0
member,181.0
places,181.0
hi,179.0
planned,179.0
makes,179.0
tests,179.0
instead,179.0
nigeria,178.0
ago,177.0
@denzelhd:,177.0
studio,177.0
address,176.0
d,176.0
panic,176.0
sha,175.0
ready,175.0
spoke,175.0
sincerely,175.0
least,175.0
g,175.0
party,174.0
ways,173.0
"corona",173.0
aged,173.0
both,173.0
single,172.0
full,172.0
lives,172.0
small,172.0
grow,171.0
dead,171.0
turn,171.0
7,171.0
roll,170.0
taken,170.0
sean,170.0
@abc:,169.0
possible,169.0
dangerous,169.0
night,169.0
different,169.0
thread,169.0
means,169.0
brought,168.0
pay,167.0
treat,166.0
truth,165.0
54,165.0
hospitalized,165.0
almost,165.0
america,164.0
mean,164.0
yeah,164.0
putting,164.0
selfish,164.0
ramona,163.0
piece,163.0
mom,163.0
forget,163.0
doesn't,162.0
either,162.0
selling,162.0
@damii_aros:,162.0
month,162.0
mayorkun,162.0
there's,162.0
volunteers,161.0
hours,160.0
running,160.0
10,160.0
bill,160.0
stuff,160.0
evidence,159.0
ask,159.0
payton,159.0
fault,159.0
wish,158.0
plan,158.0
edited,158.0
internet,158.0
shut,158.0
april,158.0
id,157.0
you're,157.0
ebola,157.0
