,word,positive,negative
1408,thei,4,1
1409,arabia,2,4
1410,y,6,2
1411,remain,9,0
1412,loan,5,2
1413,allow,2,2
1414,@siya_dlaminii:,5,2
1415,stuck,4,0
1416,control,8,1
1417,sing,5,1
1418,crises,4,1
1419,labs,8,3
1420,university,3,0
1421,ignorant,6,2
1422,tonight,5,3
1423,gym,3,1
1424,somebody,8,3
1425,page,2,2
1426,minimal,5,2
1427,proved,2,4
1428,fr,2,2
1429,act,8,1
1430,updates,5,2
1431,states,4,2
1432,eat,5,1
1433,fall,4,0
1434,mfs,5,3
1435,borders,10,1
1436,international,4,2
1437,crosses,5,3
1438,feeling,8,0
1439,attention,4,3
1440,htt,3,2
1441,fi,8,4
1442,aside,5,4
1443,deflect,5,1
1444,bit,2,3
1445,soap,6,2
1446,finish,4,1
1447,united,4,3
1448,sis,2,1
1449,"17100",0,0
1450,potential,4,5
1451,"13000",0,0
1452,co/ax5offplnb,4,3
1453,"bordercontrols:",0,0
1454,disgusting,7,4
1455,addressed,7,1
1456,ended,5,1
1457,catastrophic,9,3
1458,"9100",0,0
1459,),7,1
1460,hero,6,0
1461,@getthebagcoach:,4,3
1462,"35000",0,0
1463,caught,3,1
1464,chill,4,1
1465,africa,4,2
1466,sir,6,0
1467,germay,5,2
1468,14,3,2
1469,bury,3,1
1470,idiot,4,2
1471,cos,4,2
1472,ceo,5,2
1473,11:33,6,4
1474,dance,6,1
1475,fucked,6,1
1476,wild,3,1
1477,@b_hq:,5,2
1478,mess,9,3
1479,order,6,2
1480,restored,4,6
1481,bars,5,3
1482,tv,1,1
1483,report,8,2
1484,elderly,5,3
1485,@vijayabaskarofl:,8,1
1486,buying,7,2
1487,stoking,8,2
1488,germany,8,3
1489,distinctive,7,1
1490,brain,4,3
1491,ruined,3,2
1492,'chinese',0,0
1493,gratitude,3,2
1494,overcrowded,4,2
1495,boyfriends,4,2
1496,lead,4,1
1497,fascist,4,2
1498,eagle-eyed,7,1
1499,@blessmond__:,4,2
1500,prettylittlewishes,5,1
1501,wa,3,1
1502,evil,4,2
1503,front,1,1
1504,@philiprucker:,7,1
1505,intended,5,1
1506,couldnt,6,1
1507,co/dhjm2gq2mw,8,3
1508,blessed,4,1
1509,tweets,4,1
1510,boss,6,1
1511,lock,5,3
1512,failures,7,2
1513,church,4,1
1514,@amee_townsend:,4,6
1515,owners,5,2
1516,wtf,9,0
1517,@realthingulli:,1,4
1518,langua,4,2
1519,space,5,3
1520,text,10,1
1521,@marleematlin:,4,2
1522,tho,6,3
1523,basic,9,2
1524,names,4,1
1525,clearly,4,1
1526,memory,3,1
1527,@nbcnews:,7,2
1528,viral,4,2
1529,movie,4,5
1530,clinic,3,0
1531,co/khshfvtwon,5,2
1532,effort,5,0
1533,infect,6,3
1534,list,9,1
1535,reading,9,0
1536,touching,7,2
1537,@crisswaddle:,7,2
1538,7am,2,3
1539,boy,5,1
1540,idk,4,1
1541,tema,7,2
1542,presidential,3,0
1543,jokes,7,1
1544,express,3,2
1545,loadshedding,5,2
1546,beyond,7,1
1547,jonathan,3,0
1548,minutes,2,4
1549,@jacobinmag:,6,1
1550,hemmer,2,0
1551,final,4,1
1552,safest,4,1
1553,50,6,2
1554,distance,2,2
1555,contract,3,1
1556,note,9,3
1557,ahead,5,2
1558,arent,1,1
1559,pak,3,2
1560,"17",0,0
1561,overcome,2,2
1562,island,6,0
1563,@majorpoonia:,3,3
1564,@inthematrixxx:,5,3
1565,everywhere,3,4
1566,"q",0,0
1567,exposed,4,1
1568,healthcare,5,3
1569,lectern,5,3
1570,@delltech,3,2
1571,brother,2,0
1572,smh,4,2
1573,lack,5,5
1574,@michaeldell:,3,2
1575,cut,7,2
1576,lizzo,3,1
1577,leadership,5,4
1578,covid2019,3,1
1579,@vmware,3,2
1580,value,3,0
1581,untill,6,0
1582,spanish,9,3
1583,"q1133",0,0
1584,bullshit,4,1
1585,kobe,3,1
1586,of),4,1
1587,co/x26lkrqnno,6,2
1588,infection,6,0
1589,tweeting,7,0
1590,haven't,0,0
1591,originated,6,3
1592,john,5,3
1593,changed,6,3
1594,matter,1,4
1595,200,2,2
1596,rise,4,2
1597,poses,3,1
1598,janatacurfew,3,2
1599,room,8,5
1600,@pftcommenter:,6,0
1601,(especially,6,3
1602,impact,4,1
1603,@yunggravy:,3,2
1604,lord,4,2
1605,known,5,2
1606,light,7,5
1607,army,5,4
1608,super,6,2
1609,https://,3,1
1610,govt's,0,0
1611,pistol,3,2
1612,mother,0,0
1613,scheme,5,3
1614,mf,4,4
1615,release,0,0
1616,republicans,5,1
1617,airport,2,0
1618,1st,7,3
1619,obvious,4,3
1620,forward,2,1
1621,cnn,5,1
1622,(lack,4,1
1623,cell,4,1
1624,sanders,5,1
1625,coronaviruschallenge,4,1
1626,silenced,3,2
1627,co/m,5,1
1628,18,7,2
1629,takes,6,2
1630,unless,5,2
1631,@girlsreallyrule:,1,0
1632,race,4,1
1633,episode,1,2
1634,nfl,4,1
1635,wasn't,0,0
1636,fully,2,0
1637,needed,2,1
1638,ugly,4,4
1639,postpone,4,1
1640,bu,6,3
1641,often,1,2
1642,failed,5,2
1643,1),6,0
1644,fast,4,1
1645,vs,1,1
1646,completely,4,1
1647,co/yjdbz9qj0d,3,2
1648,gravest,3,1
1649,actual,8,1
1650,tolu,3,0
1651,@carryonkeith:,5,2
1652,ogunlesi,3,0
1653,de,4,4
1654,extra,4,3
1655,(per:,11,2
1656,initiates,11,2
1657,republicansarekillingus,4,2
1658,bringing,2,1
1659,alcoholic,4,1
1660,january,6,0
1661,sun,4,2
1662,diseases,1,4
1663,@yoshtisune:,5,0
1664,breathing,3,1
1665,awareness,5,2
1666,@naretevduorp:,4,1
1667,"9/24/19",0,0
1668,@haskologlu:,3,2
1669,"inquiry",0,0
1670,botched,4,2
1671,insisted,3,0
1672,"11/17/19",0,0
1673,@ekwulu:,3,0
1674,":",0,0
1675,mes,6,3
1676,balconies,5,1
1677,pranam,4,1
1678,@monaghanlab:,6,3
1679,berliners,6,3
1680,w/,5,0
1681,weakest,6,2
1682,bed,5,0
1683,@electroboyusa:,4,2
1684,advice,10,1
1685,molecular,6,3
1686,stand,6,4
1687,beach,3,2
1688,effect,3,1
1689,qpcr),6,3
1690,cancelling,3,3
1691,unite,5,1
1692,dealing,2,2
1693,obviously,3,1
1694,prepared,3,0
1695,write,2,4
1696,stupidity,3,0
1697,poll,5,1
1698,@naseehapatel:,5,1
1699,affect,1,1
1700,laughing,5,3
1701,reality,6,2
1702,@okaishawty:,4,1
1703,rn,4,3
1704,lose,2,2
1705,irresponsible,5,1
1706,son,6,2
1707,raging,5,1
1708,@kapilmishra_ind:,3,1
1709,15,5,3
1710,la,2,4
1711,lies,5,2
1712,experts,0,1
1713,account,4,4
1714,store,3,0
1715,@derekjgz:,7,2
1716,simple,7,1
1717,@psychdr100:,6,1
1718,members,2,0
1719,@ddwiese:,11,2
1720,neglige,7,2
1721,catching,6,1
1722,trash,0,2
1723,whatever,2,3
1724,prayer,2,3
1725,based,5,1
1726,dad,5,4
1727,website,6,1
1728,@therickwilson,6,1
1729,jabin,3,1
1730,area,6,1
1731,@_rohanverma:,1,1
1732,surprised,9,0
1733,natural,3,1
1734,bug,5,3
1735,james,3,1
1736,insta,5,2
1737,prime,6,1
1738,companies,6,1
1739,throw,1,2
1740,gave,1,0
1741,co/mujxt6n0hp,0,4
1742,drop,7,0
1743,attack,1,3
1744,babies,6,1
1745,adress,1,1
1746,governments,3,2
1747,blaming,4,0
1748,helping,3,2
1749,meet,4,7
1750,coach,1,1
1751,youve,4,1
1752,crying,1,2
1753,massive,3,5
1754,interview,3,2
1755,"update:",0,0
1756,top,2,1
1757,beef,5,4
1758,voice,3,0
1759,questionnaire,4,1
1760,provide,5,3
1761,middle,4,3
1762,@scenesofriends:,2,1
1763,hopefully,7,3
1764,co/gbf9l1attm,6,2
1765,0,7,4
1766,stage,6,0
1767,street,4,2
1768,everyday,4,2
1769,paying,4,2
1770,opportunity,2,0
1771,w/o,5,1
1772,men,5,3
1773,allah,1,3
1774,crown,4,2
1775,knowing,2,0
1776,legend,2,3
1777,co/hweem4vrtm,2,1
1778,"card",0,0
1779,@zandirts:,6,2
1780,weekend,3,0
1781,taiwan,0,3
1782,spend,5,1
1783,q,9,3
1784,london,6,0
1785,@sofiausman7:,2,0
1786,illegal,6,2
1787,increasingly,0,3
1788,image,4,1
1789,keeps,3,2
1790,reports,4,0
1791,residents,2,3
1792,meeting,5,3
1793,meanwhile,4,3
1794,woman,3,2
1795,hoping,2,4
1796,private,7,3
1797,korea,5,1
1798,benefit,6,2
1799,shes,5,4
1800,@matthew_rosko:,1,1
1801,fuckin,1,1
1802,ice,1,0
1803,copy,3,3
1804,cardi,3,0
1805,climate,5,0
1806,anywhere,2,2
1807,victims,2,5
1808,results,5,0
1809,increase,2,0
1810,gandhi,2,0
1811,ho,3,2
1812,snaps,3,1
1813,car,4,1
1814,society,3,2
1815,loved,0,0
1816,ghana,3,0
1817,co/qoc1qhvym5,2,3
1818,@pmoindia,3,4
1819,girls,3,1
1820,posting,3,0
1821,marked,4,1
1822,complete,3,2
1823,chest,3,3
1824,immediately,7,1
1825,co/t1tkkd4w3s,1,1
1826,@asapaimaaa:,2,2
1827,@liilevi:,2,3
1828,package,3,2
1829,ar,7,1
1830,wife,4,1
1831,@replouiegohmert,5,0
1832,push,2,2
1833,cover,5,4
1834,perfect,3,2
1835,debate,4,5
1836,(covid-19),3,4
1837,binge,1,2
1838,europe,3,1
1839,simp,4,5
1840,tough,4,5
1841,3am,5,0
1842,purse,4,1
1843,@sunnyjinsue:,4,1
1844,suspected,3,1
1845,stores,6,0
1846,louiehes,5,0
1847,closure,7,2
1848,lennon,5,1
1849,contacts,3,2
1850,vote,3,2
1851,wear,5,0
1852,turned,0,0
1853,news:,4,1
1854,hardest,6,1
1855,price,3,0
1856,solidarity,3,2
1857,wondering,4,1
1858,breaking:,2,1
1859,co/uvcitk51ug,2,1
1860,@epochtimes:,5,0
1861,coronavirusoutbreakindia,5,0
1862,acting,3,1
1863,gloves,2,1
1864,create,4,1
1865,hasnt,5,0
1866,@1djfirstclass:,2,1
1867,drinking,6,2
1868,canceled,6,2
1869,industry,5,3
1870,"one:",0,0
1871,federal,6,2
1872,bought,3,1
1873,behind,8,1
1874,education,3,0
1875,practice,4,1
1876,mi,4,3
1877,sending,2,0
1878,ce,1,1
1879,sex,4,0
1880,@sardesairajdeep:,2,1
1881,chef,1,2
1882,regarding,4,1
1883,breath,3,3
1884,animal,1,1
1885,bet,2,1
1886,low,3,0
1887,youll,0,1
1888,enhancement,3,3
1889,resources,4,2
1890,comment,5,1
1891,nearby,1,1
1892,shame,4,2
1893,clearance,6,0
1894,shutting,5,1
1895,building,5,2
1896,dogs,3,2
1897,"2",0,0
1898,neighbour,2,1
1899,co/bwe30ghxhg,4,0
1900,shall,7,2
1901,dem,1,4
1902,prevention,3,3
1903,rent,3,2
1904,sister,2,3
1905,bs,2,0
1906,intelligence,1,2
1907,late,3,0
1908,hatred,1,1
1909,likely,4,2
1910,turning,4,1
1911,figure,2,2
1912,dumbest,1,0
1913,info,2,0
1914,win,7,0
1915,orders,2,3
1916,@mvmeet:,3,1
1917,biggest,4,3
1918,main,5,1
1919,loud,3,1
1920,@mapmyindia,1,1
1921,hour,3,2
1922,explaining,7,4
1923,credit,4,2
1924,cm,4,0
1925,drive,1,0
1926,hair,1,2
1927,except,2,1
1928,covid19nigeria,4,0
1929,=,4,2
1930,professionals,3,1
1931,track,3,3
1932,sounds,2,2
1933,per,3,2
1934,co/p8iqtoz77t,1,1
1935,planning,3,1
1936,amid,2,1
1937,return,3,2
1938,whopping,4,1
1939,journalist,7,0
1940,washyourhands,6,1
1941,various,1,1
1942,walk,4,2
1943,gop,1,2
1944,beginning,2,0
1945,co/ioyp00vd5q,5,1
1946,troll,5,2
1947,democrats,3,3
1948,problems,5,1
1949,scare,4,1
1950,clean,4,2
1951,drag,1,3
1952,@karlousm:,6,0
1953,german,0,0
1954,alcohol,5,1
1955,jail,2,2
1956,lime,3,0
1957,https,4,0
1958,attempts,3,3
1959,amount,4,4
1960,accountable,4,2
1961,fri,8,0
1962,xenophobic,7,1
1963,concrete,8,2
1964,disappear,1,1
1965,spri,1,2
1966,corporate,6,0
1967,chinas,3,0
1968,majority,4,2
1969,mar,4,1
1970,coronavirusinnigeria,1,2
1971,@jameskii:,8,0
1972,shocked,3,0
1973,technology,5,0
1974,getty,3,1
1975,certain,3,0
1976,dipshit,1,2
1977,@mikefarb1:,1,2
1978,wh,8,1
1979,facts,4,1
1980,symptoms:,2,2
1981,nhs,1,3
1982,aldi,3,0
1983,straight,3,0
1984,bus,3,1
1985,hearing,5,1
1986,@rotimialabi_:,6,1
1987,boyardee,1,2
1988,amendment,1,4
1989,ka,4,3
1990,including,3,2
1991,expected,3,0
1992,dj,3,1
1993,annoying,0,5
1994,billion,4,2
1995,visit,3,0
1996,danny,1,2
1997,plague,3,1
1998,maury,1,2
1999,"stopbhashanshowaction",0,0
2000,kingdom,2,3
2001,africans,2,1
2002,north,1,1
2003,laugh,3,2
2004,tried,3,0
2005,:),3,0
2006,key,3,1
2007,fans,3,1
2008,madness,4,1
2009,itself,5,1
2010,declared,3,0
2011,quite,1,2
2012,flatten,8,0
2013,kn,4,1
2014,mental,1,1
2015,failure,1,3
2016,collect,3,2
2017,nah,4,1
2018,jim,3,1
2019,ain't,0,0
2020,@zaklfc7:,3,0
2021,turns,3,1
2022,workouts,1,0
2023,missing,2,1
2024,difficulty,1,1
2025,games,0,2
2026,income,3,3
2027,prepare,5,4
2028,vanessa,1,1
2029,sen,2,1
2030,scary,3,3
2031,usual,4,0
2032,cured,1,3
2033,apart,4,4
2034,precautions,4,0
2035,kinda,6,0
2036,hunger,5,2
2037,enters,2,0
2038,ruining,5,1
2039,cool,5,3
2040,markets,3,1
2041,botsford/the,2,1
2042,temperature,4,2
2043,shoot,5,2
2044,speak,2,4
2045,offering,2,4
2046,memes,3,3
2047,novel,4,0
2048,(photo:,2,1
2049,challenging,2,0
2050,queens,3,3
2051,apparently,6,1
2052,@hhypocrisy101:,4,1
2053,regular,1,4
2054,anyway,3,1
2055,homes,3,4
2056,2600+,4,1
2057,streets,3,1
2058,hai,1,1
2059,promoting,1,1
2060,plus,6,0
2061,shouldnt,5,0
2062,interesting,3,1
2063,"you",0,0
2064,league,2,2
2065,designed,4,0
2066,shortage,2,1
2067,ministry,0,1
2068,coz,4,1
2069,scientists,1,1
2070,youd,5,0
2071,graduation,2,1
2072,cope,4,4
2073,94%,4,1
2074,truly,5,3
2075,bank,2,2
2076,quick,2,0
2077,thoughts,5,2
2078,lots,6,2
2079,@renoomokri:,3,1
2080,named,4,0
2081,stress,1,2
2082,songs,2,4
2083,born,3,0
2084,@gatewaypundit,4,1
2085,degrees,5,4
2086,gold,4,0
2087,condolences,7,0
2088,kindly,3,3
2089,official,2,2
2090,youtube,1,1
2091,hotels,2,1
2092,degree,2,0
2093,later,4,1
2094,mark,4,2
2095,@who,2,2
2096,ordered,5,3
2097,beaches,2,1
2098,forced,5,1
2099,promises,1,1
2100,highly,5,2
2101,position,4,0
2102,bruh,3,4
2103,center,0,1
2104,tells,2,5
2105,town,2,0
2106,thick,4,1
2107,football,5,0
2108,conference,5,0
2109,@anjanaomkashyap:,3,1
2110,waste,1,1
2111,child,2,2
2112,punjab,3,0
2113,lankford,3,1
2114,isolate,7,2
2115,@rayleengale:,4,3
2116,president's,0,0
2117,survival,4,2
2118,products,2,1
2119,developed,2,1
2120,simply,1,0
2121,af,3,0
2122,exists,4,2
2123,stayathomechallenge,5,0
2124,attacks,2,6
2125,marsha,3,1
2126,@cnn,3,1
2127,voluntarily,4,0
2128,instagram,2,1
2129,tiktok,4,1
2130,strictly,1,2
2131,possibly,3,0
2132,mike,2,1
2133,non,4,1
2134,77,4,5
2135,lowkey,4,0
2136,afraid,3,0
2137,weed,3,0
2138,correctness,3,3
2139,west,2,0
2140,@actbrigitte:,4,2
2141,saturday,2,2
2142,blackburn,4,1
2143,ate,1,1
2144,kumasi,3,0
2145,process,1,1
2146,hyderabad,2,3
2147,overtime,2,1
2148,co/41y6u7rp,4,2
2149,we'll,0,0
2150,indoors,5,1
2151,conspiracy,2,0
2152,eu,7,0
2153,facebook,4,0
2154,(corona,4,0
2155,ourselves,1,4
2156,http,3,1
2157,fights,5,1
2158,famous,2,0
2159,rapunzel,1,3
2160,passed,2,5
2161,alive,4,0
2162,liverpool,1,0
2163,graduate,1,1
2164,appreciate,2,0
2165,cafes,3,0
2166,trips,4,0
2167,experiencing,4,1
2168,learning,2,2
2169,revenge,5,0
2170,@gejonathan,3,0
2171,letting,6,1
2172,tech,3,3
2173,bum,1,0
2174,distraction,3,0
2175,happens,3,0
2176,ride,1,2
2177,excellent,1,1
2178,wishing,1,0
2179,fate,1,0
2180,@ericfloyd:,1,3
2181,co/i25mtf5xfk,1,1
2182,rupauls,1,3
2183,selection,1,2
2184,khan,2,2
2185,mine,3,1
2186,st,1,2
2187,proposal,3,0
2188,heartfelt,7,0
2189,co/,4,0
2190,zero,4,3
2191,buddy,1,2
2192,co/3qm0t5wf6k,1,3
2193,co/frys2jcm4p,1,0
2194,couldn't,0,0
2195,fda,3,1
2196,co/ttkcj4xxa0,3,2
2197,@facebook,2,1
2198,drunk,2,1
2199,mass,4,0
2200,@natb201:,1,0
2201,concerned,5,2
2202,none,0,2
2203,@axios:,2,1
2204,frm,4,1
2205,respect,4,4
2206,trust,3,2
2207,@samstein:,3,3
2208,chinesevirus,3,0
2209,areas,2,2
2210,quarentinelife,3,0
2211,coronainpakistan,4,0
2212,ma,4,1
2213,asuu:,3,0
2214,coronas,3,1
2215,race:,1,3
2216,email,1,1
2217,da,4,1
2218,baiting,2,2
2219,example,3,0
2220,weird,1,3
2221,suffering,1,2
2222,favorite,0,1
2223,students:,1,1
2224,source,4,0
2225,she's,0,0
2226,confident,2,0
2227,predicted,6,1
2228,inhofe,3,1
2229,spoken,6,1
2230,claim,4,0
2231,nurses,2,3
2232,postponed,3,1
2233,foment,4,0
2234,recovered,2,2
2235,hurt,5,0
2236,announced,4,2
2237,millions,3,1
2238,changes,3,3
2239,@baeonda:,2,4
2240,ideas,1,0
2241,shop,1,2
2242,friday,3,2
2243,rich,1,2
2244,slow,6,1
2245,raged,3,0
2246,ignorance,4,0
2247,ig,4,3
2248,huh,2,0
2249,shared,4,3
2250,@b52malmet:,3,1
2251,supporter,3,0
2252,spikes,7,0
2253,funds,3,1
2254,(r-tn),3,1
2255,hello,1,2
2256,@huawei,1,1
2257,form,0,1
2258,drs,1,0
2259,conditions,1,0
2260,clapping,2,1
2261,co/g0011h78fm,3,1
2262,indiafightscorona,6,4
2263,sucks,3,1
2264,succumbed,6,0
2265,sindh,1,2
2266,events,1,3
2267,radio,2,2
2268,difference,2,0
2269,choose,4,1
2270,blamed,1,2
2271,ambulance,2,1
2272,york,3,0
2273,staysafe,5,2
2274,bloody,6,1
2275,27,4,0
2276,whos,2,0
2277,mandem,1,2
2278,nowhere,1,1
2279,ima,2,2
2280,approved,2,1
2281,sars,2,1
2282,audience,1,2
2283,faces,1,1
2284,supplies,5,1
2285,choice,0,3
2286,@chuckwoolery:,4,4
2287,sooo,6,0
2288,animals,2,1
2289,condition,2,3
2290,swear,4,2
2291,earnest,6,0
2292,approach,2,0
2293,haha,2,1
2294,teachers,3,3
2295,@mrjones_tm:,2,3
2296,@patpenn2:,2,0
2297,socialdistancing,1,0
2298,@ayobankole:,3,2
2299,egypt,3,0
2300,@maysssss_:,4,1
2301,thankful,2,1
2302,"body",0,0
2303,leading,1,1
2304,packing,2,2
2305,@3days3nights:,5,1
2306,wouldn't,0,0
2307,ik,4,2
2308,thermostat,4,4
2309,sadly,2,2
2310,quaranteens,3,1
2311,feelings,0,1
2312,kandi,3,1
2313,msnbc,1,0
2314,deep,2,0
2315,@xsqoof:,3,1
2316,500,2,0
2317,stopping,1,0
2318,russia,3,0
2319,updated,4,0
2320,monday,3,0
2321,wedding,0,0
2322,co/bqohxl5txn,4,1
2323,corona),3,2
2324,@pamkeithfl:,4,0
2325,thru,0,3
2326,raised,1,1
2327,bunch,3,2
2328,laid,3,1
2329,kid,3,5
2330,crap,3,1
2331,horrible,2,0
2332,bar,4,1
2333,"beer",0,0
2334,solution,0,1
2335,crossing,4,1
2336,@pinnyloketch,2,1
2337,addition,1,1
2338,fightcovid19,3,0
2339,@adefolaamoo:,2,1
2340,helpful,5,2
2341,"corona:",0,0
2342,weve,0,1
2343,"march",0,0
2344,@musanv18:,4,1
2345,joints,0,2
2346,aids,1,1
2347,letter,2,1
2348,k,2,1
2349,60,1,1
2350,immed,2,0
2351,releasing,1,1
2352,joyous,0,2
2353,stream,4,1
2354,red,2,0
2355,@ghonim:,1,1
2356,deny,1,3
2357,telecom,1,1
2358,disaster,3,0
2359,chief,3,1
2360,view,1,1
2361,isolating,2,0
2362,ignored,3,4
2363,debt,1,1
2364,kung,2,2
2365,politics,3,0
2366,employees,3,0
2367,@pinnyloketch:,2,1
2368,behead,2,1
2369,built,2,4
2370,thursday,0,2
2371,crown-like,6,0
2372,doubt,2,1
2373,trumpvirus,5,5
2374,pic,3,2
2375,22,0,2
2376,racist-in-chief,2,1
2377,tour,4,1
2378,pr,2,0
2379,necessary,4,0
2380,cor,0,1
2381,elkharseety,1,1
2382,american-egyptian,1,1
2383,king,3,0
2384,d-does,4,0
2385,co/igpfdhtcdm,5,1
2386,@zhantafa:,6,0
2387,event,1,0
2388,agreed,4,1
2389,https:/,2,0
2390,m-mean,4,0
2391,@stonersuh:,4,0
2392,calm,2,5
2393,co/gdipokqozb,1,0
2394,@thomaskaine5:,3,0
2395,upon,2,1
2396,wouldnt,5,2
2397,created,1,0
2398,honest,3,1
2399,lying,2,0
2400,appreciation,4,2
2401,cells,2,1
2402,exterior,6,0
2403,immunity,4,1
2404,127,4,0
2405,election,4,1
2406,empty,0,2
2407,central,0,3
2408,poc,4,2
2409,desperate,3,0
2410,se,6,0
2411,sort,5,1
2412,precautionary,4,1
2413,financial,2,0
2414,points,3,1
2415,keys,5,1
2416,vulnerable,2,2
2417,co/jezoji7e0v,0,1
2418,mate,2,0
2419,easy,5,1
2420,orleans,1,0
2421,cross,0,3
2422,13,2,2
2423,cancer,1,0
2424,gift,2,1
2425,explain,2,2
2426,n-neo,4,0
2427,worldwide,3,3
2428,refuse,2,0
2429,stayathome,2,1
2430,holding,1,1
2431,kidding,4,2
2432,@aaronneedshelp:,1,0
2433,@kaypoisson1:,4,0
2434,luck,0,1
2435,older,2,2
2436,effects,2,1
2437,senators,2,2
2438,@jenanmoussa:,2,1
2439,oftenas,1,1
2440,ten,5,1
2441,hates,4,0
2442,holds,4,1
2443,pieces,0,0
2444,whoever,3,0
2445,awareness:,6,1
2446,purposefully,5,0
2447,thin,2,0
2448,ban,4,0
2449,basically,5,0
2450,@tshi_nakanyane:,1,1
2451,"3",0,0
2452,lungs,1,2
2453,@mbuhari,5,4
2454,rona,3,1
2455,unprecedented,2,1
2456,@_nomics:,0,2
2457,21,2,1
2458,revelation,5,1
2459,xenophobia,2,1
2460,aware,2,0
2461,gas,2,3
2462,listening,2,1
2463,anti,3,3
2464,tn_toge,6,1
2465,worke,4,1
2466,presenting,2,1
2467,corona-like,2,1
2468,block,4,3
2469,31,5,1
2470,restaurants,0,2
2471,oth,1,1
2472,levels,6,2
2473,iwashedmyhands,6,1
2474,institution,4,1
2475,military,1,0
2476,@drdenagrayson:,3,1
2477,began,2,0
2478,sell,5,1
2479,granted,1,2
2480,active,3,1
2481,version,5,0
2482,sit,2,0
2483,hrs,2,0
2484,plz,1,1
2485,base,2,4
2486,co/jqagqvves1,3,1
2487,@andrewpollackfl:,1,1
2488,tangled,3,2
2489,personally,1,0
2490,bbcqt,5,2
2491,secto,3,2
2492,@ajemaineclement:,4,2
2493,era,4,1
2494,british,4,2
2495,outta,2,0
2496,:(,2,2
2497,coron,3,2
2498,useful,2,2
2499,anime,2,0
2500,awesome,4,2
2501,gates,4,0
2502,commercial,1,1
2503,demonizing,2,1
2504,grandparents,4,0
2505,abt,4,0
2506,stock,5,0
2507,i'd,0,0
2508,grateful,1,3
2509,missed,1,0
2510,@timmurtaugh:,1,3
2511,celebs,2,0
2512,@jackie__29:,4,1
2513,informal,3,2
2514,pathetic,3,1
2515,present,4,2
2516,warehouse,3,3
2517,balcony,3,1
2518,recently,5,0
2519,pts,2,0
2520,hudgens,1,1
2521,welcome,4,2
2522,wired,3,2
2523,messing,1,0
2524,bastard,4,1
2525,stayhome,1,1
2526,"me",0,0
2527,coronavi,3,1
2528,senate,1,0
2529,bat,0,1
2530,"people's",0,0
2531,organizing,3,1
2532,sometimes,3,2
2533,@grantstern:,2,1
2534,village,0,0
2535,ni,4,3
2536,michael,1,0
2537,"other",0,0
2538,pronounce,2,3
2539,anybody,4,0
2540,pan,4,0
2541,flying,3,3
2542,@pushacee:,2,1
2543,towards,2,3
2544,co/cns0qqgnok,2,1
2545,fo,3,1
2546,finna,2,1
2547,natasha,4,1
2548,dm,1,1
2549,screwed,1,1
2550,vacation,1,0
2551,greek,0,0
2552,trending,3,4
2553,movement,0,2
2554,pain,2,1
2555,resident,4,2
2556,warning,0,1
2557,unity,5,2
2558,"coffee",0,0
2559,managed,4,2
2560,sweet,2,1
2561,major,1,1
2562,parting,2,1
2563,delivery,3,0
2564,rss,2,1
2565,reduce,2,0
2566,shelves,1,1
2567,democratic,1,1
2568,closures,2,0
2569,@marco_acortes:,0,0
2570,drugs,5,0
2571,"coronavirus",0,0
2572,alright,2,0
2573,claims,5,1
2574,content,1,1
2575,energy,2,1
2576,romanoff,4,1
2577,co/6tfmgwqs2f,4,1
2578,access,3,0
2579,fund,2,2
2580,@kandi,2,1
2581,britains,1,2
2582,nick,1,5
2583,@nightlypolitics:,3,0
2584,we've,0,0
2585,sayhername,2,1
2586,@goshromanoff:,4,1
2587,mention,2,1
2588,design,4,1
2589,handled,4,0
2590,reaction,3,2
2591,hasn't,0,0
2592,ha,1,1
2593,documented,0,0
2594,coke,4,1
2595,burruss-tucker,2,1
2596,shaking,3,3
2597,mem,3,0
2598,posted,1,3
2599,raise,1,0
2600,door,2,2
2601,bae,3,0
2602,"spring-breakers:",0,0
2603,@fernandoamandi:,3,0
2604,@itspinsmybrain:,4,1
2605,border,2,2
2606,simon,1,5
2607,streaming,0,0
2608,spot,2,1
2609,duty,1,1
2610,respiratory,2,3
2611,worked,1,0
2612,met,1,1
2613,pune,2,1
2614,podcast,2,2
2615,followers,5,1
2616,easily,1,2
2617,services,3,2
2618,watched,3,1
2619,@simon_nixon:,1,2
2620,@public_citizen:,1,3
2621,ruin,4,2
2622,card,6,1
2623,discipline,3,0
2624,@borisjohnson,1,1
2625,togetherwecan,3,1
2626,@bertkreischer:,0,0
2627,amidst,2,1
2628,"pandemic",0,0
2629,campaign,3,0
2630,@thelindsayellis:,2,1
2631,spent,2,1
2632,reporting,1,0
2633,indeed,2,0
2634,forever,2,0
2635,peshawar,5,0
2636,stories,4,3
2637,title,1,0
2638,according,3,0
2639,sexy,4,1
2640,supporting,1,0
2641,serve,3,0
2642,cry,6,1
2643,muslim,3,0
2644,christ,2,0
2645,@cbsnews,1,1
2646,primary,2,0
2647,est,2,2
2648,planet,2,1
2649,cars,1,0
2650,blue,3,0
2651,racial,3,0
2652,grocery,4,1
2653,@brent_rooker19:,5,1
2654,propaganda,4,0
2655,abil,4,1
2656,2019,2,1
2657,clap,5,0
2658,suck,3,0
2659,calming,5,1
2660,who's,0,0
2661,fauci,0,0
2662,morons,1,0
2663,americans:,3,1
2664,@sureshnakhua:,2,1
2665,lucky,2,1
