,word,positive,negative
351,thought,38,12
352,incompetence,40,13
353,tested,30,16
354,once,29,14
355,moving,36,14
356,war,37,10
357,co/7ptqsfd18e,32,12
358,@fuckiettuce:,32,12
359,live,35,20
360,whole,29,14
361,two,34,13
362,positive,30,10
363,reminder,31,15
364,cure,32,15
365,year,31,13
366,never,30,19
367,partying:,25,16
368,black,30,10
369,making,26,11
370,ever,21,20
371,@cbsnews:,25,16
372,might,29,16
373,guys,38,11
374,call,38,11
375,hand,34,15
376,italy,26,8
377,timely,28,13
378,test,40,19
379,wealth,28,13
380,written,42,17
381,bad,28,15
382,force,24,17
383,media,22,9
384,bait,22,13
385,put,23,10
386,royal,29,13
387,everything,29,12
388,deflection,20,9
389,covid-19,25,8
390,castle,28,14
391,obscene,28,13
392,@xhakaed:,28,13
393,which,34,8
394,windsor,28,13
395,best,33,14
396,photographer,22,11
397,situation,32,7
398,ass,28,8
399,die,20,18
400,while,32,12
401,point,26,18
402,noticed,25,14
403,legend:,32,9
404,omg,31,9
405,song,35,16
406,hope,24,20
407,saying,20,17
408,guy,23,7
409,listen,29,7
410,co/ttrscyz6js,29,14
411,testing,18,8
412,remember,30,18
413,asked,27,13
414,does,28,15
415,papers,38,16
416,via,28,12
417,may,24,7
418,trip,22,11
419,today's,0,0
420,blame,30,10
421,sorry,36,9
422,support,18,17
423,actually,22,9
424,3,18,11
425,believe,32,10
426,something,28,15
427,social,24,10
428,watch,20,10
429,school,23,12
430,without,27,8
431,through,26,11
432,having,31,9
433,leader,19,11
434,cause,29,11
435,closed,30,8
436,feel,23,5
437,made,27,3
438,absolute,32,6
439,@jabinbotsford,32,11
440,touch,18,11
441,picture,30,14
442,response,23,14
443,lets,21,14
444,long,26,6
445,soon,20,8
446,pm,17,11
447,use,22,17
448,food,26,5
449,serious,30,8
450,kill,15,12
451,years,26,7
452,better,23,14
453,wapo,18,10
454,literally,24,13
455,4,22,10
456,epidemic,19,5
457,times,25,7
458,working,15,10
459,march,26,4
460,@davidjollyfl:,18,10
461,@narendramodi,31,11
462,enough,19,5
463,proof,20,8
464,message,23,10
465,2020,23,6
466,violence,26,12
467,post-corona,22,12
468,americans,20,5
469,thats,21,5
470,talking,24,11
471,al,17,7
472,fact,19,4
473,says,23,13
474,looking,13,9
475,hands,21,9
476,shar,19,7
477,@amy_siskind:,19,7
478,together,15,6
479,aint,28,3
480,symptoms,23,11
481,students,19,6
482,city,29,4
483,canada,8,7
484,r,23,11
485,dogshit,23,6
486,@chrisdelia:,23,6
487,dey,22,8
488,sent,21,11
489,free,20,9
490,start,23,13
491,s,29,10
492,setting,28,11
493,public,22,10
494,govt,21,6
495,political,19,8
496,psa,27,11
497,done,20,11
498,post,16,10
499,emergency,18,8
500,care,19,7
501,follow,26,10
502,doctor,14,6
503,always,18,10
504,wuhan,13,9
505,domestic,21,10
506,et,16,7
507,own,19,10
508,tactic,17,7
509,body,22,8
510,jojos,27,11
511,week,17,6
512,raci,16,7
513,@mrjoncryer:,16,7
514,co/swpumqmjjj,27,11
515,@brettsvergara:,27,11
516,ringtone,27,11
517,read,16,9
518,outbreak,24,5
519,@mollyjongfast:,26,8
520,patients,15,4
521,needs,29,12
522,excuse,23,5
523,talk,16,7
524,next,18,5
525,until,21,7
526,save,13,8
527,came,12,6
528,used,31,6
529,ive,23,11
530,ur,23,5
531,ex,21,9
532,idea,21,12
533,ok,16,12
534,nothing,16,9
535,longer,23,9
536,self,25,11
537,beer,16,9
538,worth,25,8
539,catch,20,7
540,5,21,7
541,isnt,20,12
542,confirmed,29,4
543,heard,18,8
544,old,20,6
545,tryna,19,9
546,@hey_ciara:,15,10
547,team,13,10
548,risk,28,4
549,co/5w0uk2qvxd,15,10
550,dc,19,8
551,task,17,9
552,wow,23,11
553,taking,17,8
554,give,14,7
555,imagine,15,15
556,20,15,3
557,youre,17,5
558,lagos,13,4
559,thank,11,3
560,important,21,7
561,"2020:",0,0
562,thinking,21,5
563,break,20,10
564,wrong,11,9
565,sanitizer,22,7
566,death,12,5
567,avoid,14,9
568,killing,19,9
569,probably,14,9
570,workers,13,10
571,human,15,6
572,covid,15,7
573,online,14,4
574,stupid,21,3
575,damn,20,5
576,lot,14,8
577,sure,11,8
578,yourself,27,9
579,cop,18,8
580,hold,20,6
581,seems,17,10
582,isolation,19,7
583,baby,16,6
584,withou,18,8
585,@timothynoah1:,18,8
586,didnt,19,6
587,yesterday,24,8
588,coronavirusupdate,16,5
589,hard,13,6
590,general,25,5
591,infected,11,8
592,funny,14,7
593,iran,16,6
594,check,17,12
595,watching,15,8
596,wants,19,8
