,word,frequency
331,government,503.0
332,causing,500.0
333,shipping,500.0
334,money,498.0
335,crisis,497.0
336,distract,494.0
337,copies,492.0
338,delays,490.0
339,called,489.0
340,anyone,489.0
341,much,488.0
342,keep,487.0
343,"animalcrossing",484.0
344,@projared:,484.0
345,safe,482.0
346,queen,480.0
347,show,479.0
348,press,474.0
349,spread,472.0
350,india,470.0
351,thought,469.0
352,incompetence,465.0
353,tested,461.0
354,once,458.0
355,moving,458.0
356,war,458.0
357,co/7ptqsfd18e,456.0
358,@fuckiettuce:,456.0
359,live,455.0
360,whole,454.0
361,two,452.0
362,positive,450.0
363,reminder,448.0
364,cure,448.0
365,year,444.0
366,never,442.0
367,partying:,442.0
368,black,440.0
369,making,440.0
370,ever,440.0
371,@cbsnews:,438.0
372,might,438.0
373,guys,436.0
374,call,435.0
375,hand,430.0
376,italy,429.0
377,timely,428.0
378,test,425.0
379,wealth,424.0
380,written,423.0
381,bad,423.0
382,force,422.0
383,media,419.0
384,bait,418.0
385,put,418.0
386,royal,418.0
387,everything,418.0
388,deflection,416.0
389,covid-19,416.0
390,castle,414.0
391,obscene,414.0
392,@xhakaed:,413.0
393,which,413.0
394,windsor,413.0
395,best,412.0
396,photographer,411.0
397,situation,411.0
398,ass,409.0
399,die,407.0
400,while,407.0
401,point,406.0
402,noticed,405.0
403,legend:,403.0
404,omg,402.0
405,song,401.0
406,hope,399.0
407,saying,397.0
408,guy,396.0
409,listen,396.0
410,co/ttrscyz6js,396.0
411,testing,395.0
412,remember,395.0
413,asked,393.0
414,does,393.0
415,papers,388.0
416,via,385.0
417,may,383.0
418,trip,383.0
419,today's,382.0
420,blame,382.0
421,sorry,380.0
422,support,378.0
423,actually,376.0
424,3,375.0
425,believe,372.0
426,something,372.0
427,social,372.0
428,watch,371.0
429,school,365.0
430,without,363.0
431,through,362.0
432,having,362.0
433,leader,361.0
434,cause,361.0
435,closed,358.0
436,feel,356.0
437,made,356.0
438,absolute,355.0
439,@jabinbotsford,355.0
440,touch,354.0
441,picture,352.0
442,response,351.0
443,lets,345.0
444,long,345.0
445,soon,345.0
446,pm,341.0
447,use,340.0
448,food,340.0
449,serious,339.0
450,kill,337.0
451,years,336.0
452,better,336.0
453,wapo,335.0
454,literally,334.0
455,4,334.0
456,epidemic,333.0
457,times,333.0
458,working,331.0
459,march,328.0
