,word,frequency
1414,@siya_dlaminii:,75.0
1415,stuck,75.0
1416,control,75.0
1417,sing,75.0
1418,crises,75.0
1419,labs,75.0
1420,university,75.0
1421,ignorant,75.0
1422,tonight,75.0
1423,gym,75.0
1424,somebody,75.0
1425,page,75.0
1426,minimal,75.0
1427,proved,75.0
1428,fr,75.0
1429,act,75.0
1430,updates,75.0
1431,states,74.0
1432,eat,74.0
1433,fall,74.0
1434,mfs,74.0
1435,borders,74.0
1436,international,74.0
1437,crosses,74.0
1438,feeling,74.0
1439,attention,74.0
1440,htt,74.0
1441,fi,74.0
1442,aside,74.0
1443,deflect,74.0
1444,bit,74.0
1445,soap,74.0
1446,finish,74.0
1447,united,74.0
1448,sis,73.0
1449,"17100",73.0
1450,potential,73.0
1451,"13000",73.0
1452,co/ax5offplnb,73.0
1453,"bordercontrols:",73.0
1454,disgusting,73.0
1455,addressed,73.0
1456,ended,73.0
1457,catastrophic,73.0
1458,"9100",73.0
1459,),73.0
1460,hero,73.0
1461,@getthebagcoach:,73.0
1462,"35000",73.0
1463,caught,73.0
1464,chill,73.0
1465,africa,73.0
1466,sir,73.0
1467,germay,73.0
1468,14,73.0
1469,bury,72.0
1470,idiot,72.0
1471,cos,72.0
1472,ceo,72.0
1473,11:33,72.0
1474,dance,72.0
1475,fucked,72.0
1476,wild,72.0
1477,@b_hq:,72.0
1478,mess,72.0
1479,order,72.0
1480,restored,72.0
1481,bars,72.0
1482,tv,72.0
1483,report,72.0
1484,elderly,72.0
1485,@vijayabaskarofl:,71.0
1486,buying,71.0
1487,stoking,71.0
1488,germany,71.0
1489,distinctive,71.0
1490,brain,71.0
1491,ruined,71.0
1492,'chinese',71.0
1493,gratitude,71.0
1494,overcrowded,71.0
1495,boyfriends,71.0
1496,lead,71.0
1497,fascist,70.0
1498,eagle-eyed,70.0
1499,@blessmond__:,70.0
1500,prettylittlewishes,70.0
1501,wa,70.0
1502,evil,70.0
1503,front,70.0
1504,@philiprucker:,70.0
1505,intended,70.0
1506,couldnt,70.0
1507,co/dhjm2gq2mw,70.0
1508,blessed,70.0
1509,tweets,70.0
1510,boss,70.0
1511,lock,70.0
1512,failures,70.0
1513,church,70.0
1514,@amee_townsend:,70.0
1515,owners,69.0
1516,wtf,69.0
1517,@realthingulli:,69.0
1518,langua,69.0
1519,space,69.0
1520,text,69.0
1521,@marleematlin:,69.0
1522,tho,69.0
1523,basic,69.0
1524,names,69.0
1525,clearly,69.0
1526,memory,69.0
1527,@nbcnews:,69.0
1528,viral,69.0
1529,movie,69.0
1530,clinic,69.0
1531,co/khshfvtwon,69.0
1532,effort,69.0
1533,infect,69.0
1534,list,69.0
1535,reading,69.0
1536,touching,68.0
1537,@crisswaddle:,68.0
1538,7am,68.0
1539,boy,68.0
1540,idk,68.0
1541,tema,68.0
1542,presidential,68.0
1543,jokes,68.0
1544,express,68.0
1545,loadshedding,68.0
1546,beyond,68.0
1547,jonathan,68.0
1548,minutes,68.0
1549,@jacobinmag:,68.0
1550,hemmer,68.0
1551,final,67.0
1552,safest,67.0
1553,50,67.0
1554,distance,67.0
1555,contract,67.0
1556,note,67.0
1557,ahead,67.0
1558,arent,67.0
1559,pak,67.0
1560,"17",67.0
1561,overcome,67.0
1562,island,66.0
1563,@majorpoonia:,66.0
1564,@inthematrixxx:,66.0
1565,everywhere,66.0
1566,"q",66.0
1567,exposed,66.0
1568,healthcare,66.0
1569,lectern,66.0
1570,@delltech,66.0
1571,brother,66.0
1572,smh,66.0
1573,lack,66.0
1574,@michaeldell:,66.0
1575,cut,66.0
1576,lizzo,66.0
1577,leadership,66.0
1578,covid2019,66.0
1579,@vmware,66.0
1580,value,66.0
1581,untill,66.0
1582,spanish,66.0
1583,"q1133",66.0
1584,bullshit,65.0
1585,kobe,65.0
1586,of),65.0
1587,co/x26lkrqnno,65.0
1588,infection,65.0
1589,tweeting,65.0
1590,haven't,65.0
1591,originated,65.0
1592,john,65.0
1593,changed,65.0
1594,matter,65.0
1595,200,65.0
1596,rise,65.0
1597,poses,65.0
1598,janatacurfew,65.0
1599,room,65.0
1600,@pftcommenter:,65.0
1601,(especially,65.0
1602,impact,64.0
1603,@yunggravy:,64.0
1604,lord,64.0
1605,known,64.0
1606,light,64.0
1607,army,64.0
1608,super,64.0
1609,https://,64.0
1610,govt's,64.0
1611,pistol,64.0
1612,mother,64.0
1613,scheme,64.0
1614,mf,64.0
1615,release,64.0
1616,republicans,64.0
1617,airport,64.0
1618,1st,64.0
1619,obvious,64.0
1620,forward,64.0
1621,cnn,64.0
1622,(lack,64.0
1623,cell,64.0
1624,sanders,64.0
1625,coronaviruschallenge,64.0
1626,silenced,64.0
1627,co/m,64.0
1628,18,64.0
1629,takes,64.0
1630,unless,64.0
1631,@girlsreallyrule:,64.0
1632,race,64.0
1633,episode,63.0
1634,nfl,63.0
1635,wasn't,63.0
1636,fully,63.0
1637,needed,63.0
1638,ugly,63.0
1639,postpone,63.0
1640,bu,63.0
1641,often,63.0
1642,failed,63.0
1643,1),63.0
1644,fast,63.0
1645,vs,63.0
1646,completely,63.0
1647,co/yjdbz9qj0d,63.0
1648,gravest,63.0
1649,actual,63.0
1650,tolu,63.0
1651,@carryonkeith:,62.0
1652,ogunlesi,62.0
1653,de,62.0
1654,extra,62.0
1655,(per:,62.0
1656,initiates,62.0
1657,republicansarekillingus,62.0
1658,bringing,62.0
1659,alcoholic,62.0
1660,january,62.0
1661,sun,62.0
1662,diseases,62.0
1663,@yoshtisune:,62.0
1664,breathing,62.0
1665,awareness,62.0
1666,@naretevduorp:,62.0
1667,"9/24/19",62.0
1668,@haskologlu:,62.0
1669,"inquiry",62.0
1670,botched,62.0
1671,insisted,62.0
1672,"11/17/19",62.0
1673,@ekwulu:,62.0
1674,":",62.0
1675,mes,62.0
1676,balconies,62.0
1677,pranam,61.0
1678,@monaghanlab:,61.0
1679,berliners,61.0
1680,w/,61.0
1681,weakest,61.0
1682,bed,61.0
1683,@electroboyusa:,61.0
1684,advice,61.0
1685,molecular,61.0
1686,stand,61.0
1687,beach,61.0
1688,effect,61.0
1689,qpcr),61.0
1690,cancelling,61.0
1691,unite,61.0
1692,dealing,61.0
1693,obviously,60.0
1694,prepared,60.0
1695,write,60.0
1696,stupidity,60.0
1697,poll,60.0
1698,@naseehapatel:,60.0
1699,affect,60.0
1700,laughing,60.0
1701,reality,60.0
1702,@okaishawty:,60.0
1703,rn,60.0
1704,lose,60.0
1705,irresponsible,60.0
1706,son,60.0
1707,raging,60.0
1708,@kapilmishra_ind:,60.0
1709,15,60.0
1710,la,60.0
1711,lies,60.0
1712,experts,60.0
1713,account,59.0
1714,store,59.0
1715,@derekjgz:,59.0
1716,simple,59.0
1717,@psychdr100:,59.0
1718,members,59.0
1719,@ddwiese:,59.0
1720,neglige,59.0
1721,catching,59.0
1722,trash,59.0
1723,whatever,59.0
1724,prayer,59.0
1725,based,59.0
1726,dad,59.0
1727,website,59.0
1728,@therickwilson,59.0
1729,jabin,59.0
1730,area,59.0
1731,@_rohanverma:,59.0
1732,surprised,59.0
1733,natural,59.0
1734,bug,58.0
1735,james,58.0
1736,insta,58.0
1737,prime,58.0
1738,companies,58.0
1739,throw,58.0
1740,gave,58.0
1741,co/mujxt6n0hp,58.0
1742,drop,58.0
1743,attack,58.0
1744,babies,58.0
1745,adress,58.0
1746,governments,58.0
1747,blaming,58.0
1748,helping,58.0
1749,meet,58.0
1750,coach,57.0
1751,youve,57.0
1752,crying,57.0
1753,massive,57.0
1754,interview,57.0
1755,"update:",57.0
1756,top,57.0
1757,beef,57.0
1758,voice,57.0
1759,questionnaire,57.0
1760,provide,57.0
1761,middle,56.0
1762,@scenesofriends:,56.0
1763,hopefully,56.0
1764,co/gbf9l1attm,56.0
1765,0,56.0
1766,stage,56.0
1767,street,56.0
1768,everyday,56.0
1769,paying,56.0
1770,opportunity,56.0
1771,w/o,56.0
1772,men,56.0
1773,allah,56.0
1774,crown,56.0
1775,knowing,56.0
1776,legend,56.0
1777,co/hweem4vrtm,56.0
1778,"card",56.0
1779,@zandirts:,56.0
1780,weekend,56.0
1781,taiwan,56.0
1782,spend,55.0
1783,q,55.0
1784,london,55.0
1785,@sofiausman7:,55.0
1786,illegal,55.0
1787,increasingly,55.0
1788,image,55.0
1789,keeps,55.0
1790,reports,55.0
1791,residents,55.0
1792,meeting,55.0
1793,meanwhile,55.0
1794,woman,55.0
1795,hoping,55.0
1796,private,55.0
1797,korea,55.0
1798,benefit,55.0
1799,shes,55.0
1800,@matthew_rosko:,55.0
1801,fuckin,55.0
1802,ice,54.0
1803,copy,54.0
1804,cardi,54.0
1805,climate,54.0
1806,anywhere,54.0
1807,victims,54.0
1808,results,54.0
1809,increase,54.0
1810,gandhi,54.0
1811,ho,54.0
1812,snaps,54.0
1813,car,54.0
1814,society,54.0
1815,loved,53.0
1816,ghana,53.0
1817,co/qoc1qhvym5,53.0
1818,@pmoindia,53.0
1819,girls,53.0
1820,posting,53.0
1821,marked,53.0
1822,complete,53.0
1823,chest,53.0
1824,immediately,53.0
1825,co/t1tkkd4w3s,53.0
1826,@asapaimaaa:,53.0
1827,@liilevi:,53.0
1828,package,53.0
1829,ar,53.0
1830,wife,53.0
1831,@replouiegohmert,53.0
1832,push,53.0
1833,cover,53.0
1834,perfect,53.0
1835,debate,53.0
1836,(covid-19),53.0
1837,binge,53.0
1838,europe,52.0
1839,simp,52.0
1840,tough,52.0
1841,3am,52.0
1842,purse,52.0
1843,@sunnyjinsue:,52.0
1844,suspected,52.0
1845,stores,52.0
1846,louiehes,52.0
1847,closure,52.0
1848,lennon,52.0
1849,contacts,52.0
1850,vote,52.0
1851,wear,52.0
1852,turned,52.0
1853,news:,52.0
1854,hardest,52.0
1855,price,52.0
1856,solidarity,52.0
1857,wondering,52.0
1858,breaking:,51.0
1859,co/uvcitk51ug,51.0
1860,@epochtimes:,51.0
1861,coronavirusoutbreakindia,51.0
1862,acting,51.0
1863,gloves,51.0
1864,create,51.0
1865,hasnt,51.0
1866,@1djfirstclass:,51.0
1867,drinking,51.0
1868,canceled,51.0
1869,industry,51.0
1870,"one:",51.0
1871,federal,51.0
1872,bought,51.0
1873,behind,51.0
1874,education,51.0
1875,practice,50.0
1876,mi,50.0
1877,sending,50.0
1878,ce,50.0
1879,sex,50.0
1880,@sardesairajdeep:,50.0
1881,chef,50.0
1882,regarding,50.0
1883,breath,50.0
1884,animal,50.0
1885,bet,50.0
1886,low,50.0
1887,youll,50.0
1888,enhancement,50.0
1889,resources,50.0
1890,comment,50.0
1891,nearby,50.0
1892,shame,50.0
1893,clearance,50.0
1894,shutting,50.0
1895,building,50.0
1896,dogs,50.0
1897,"2",50.0
1898,neighbour,49.0
1899,co/bwe30ghxhg,49.0
1900,shall,49.0
1901,dem,49.0
1902,prevention,49.0
1903,rent,49.0
1904,sister,49.0
1905,bs,49.0
1906,intelligence,49.0
1907,late,49.0
1908,hatred,49.0
1909,likely,49.0
1910,turning,49.0
1911,figure,49.0
1912,dumbest,49.0
1913,info,49.0
1914,win,49.0
1915,orders,49.0
1916,@mvmeet:,49.0
1917,biggest,49.0
1918,main,49.0
1919,loud,49.0
1920,@mapmyindia,49.0
1921,hour,49.0
1922,explaining,49.0
1923,credit,49.0
1924,cm,49.0
1925,drive,49.0
1926,hair,49.0
1927,except,49.0
1928,covid19nigeria,49.0
1929,=,49.0
1930,professionals,49.0
1931,track,49.0
1932,sounds,49.0
1933,per,49.0
1934,co/p8iqtoz77t,49.0
1935,planning,49.0
1936,amid,48.0
1937,return,48.0
1938,whopping,48.0
1939,journalist,48.0
1940,washyourhands,48.0
1941,various,48.0
1942,walk,48.0
1943,gop,48.0
1944,beginning,48.0
1945,co/ioyp00vd5q,48.0
1946,troll,48.0
1947,democrats,48.0
1948,problems,48.0
1949,scare,48.0
1950,clean,48.0
1951,drag,48.0
1952,@karlousm:,48.0
1953,german,48.0
1954,alcohol,48.0
1955,jail,48.0
1956,lime,48.0
1957,https,48.0
1958,attempts,48.0
1959,amount,48.0
1960,accountable,48.0
1961,fri,48.0
1962,xenophobic,48.0
1963,concrete,48.0
1964,disappear,47.0
1965,spri,47.0
1966,corporate,47.0
1967,chinas,47.0
1968,majority,47.0
1969,mar,47.0
1970,coronavirusinnigeria,47.0
1971,@jameskii:,47.0
1972,shocked,47.0
1973,technology,47.0
1974,getty,47.0
1975,certain,47.0
1976,dipshit,47.0
1977,@mikefarb1:,47.0
1978,wh,47.0
1979,facts,47.0
1980,symptoms:,47.0
1981,nhs,47.0
1982,aldi,47.0
1983,straight,47.0
1984,bus,47.0
1985,hearing,47.0
1986,@rotimialabi_:,47.0
1987,boyardee,47.0
1988,amendment,47.0
1989,ka,47.0
1990,including,47.0
1991,expected,47.0
1992,dj,47.0
1993,annoying,47.0
1994,billion,47.0
1995,visit,47.0
1996,danny,47.0
1997,plague,47.0
1998,maury,47.0
1999,"stopbhashanshowaction",47.0
2000,kingdom,47.0
2001,africans,46.0
2002,north,46.0
2003,laugh,46.0
2004,tried,46.0
2005,:),46.0
2006,key,46.0
2007,fans,46.0
2008,madness,46.0
2009,itself,46.0
2010,declared,46.0
2011,quite,46.0
2012,flatten,46.0
2013,kn,46.0
2014,mental,46.0
2015,failure,46.0
2016,collect,46.0
2017,nah,46.0
2018,jim,46.0
2019,ain't,46.0
2020,@zaklfc7:,46.0
2021,turns,46.0
2022,workouts,46.0
2023,missing,46.0
2024,difficulty,46.0
2025,games,46.0
2026,income,46.0
2027,prepare,46.0
2028,vanessa,46.0
2029,sen,46.0
2030,scary,46.0
2031,usual,46.0
2032,cured,46.0
2033,apart,46.0
2034,precautions,46.0
2035,kinda,46.0
2036,hunger,46.0
2037,enters,46.0
2038,ruining,46.0
2039,cool,46.0
2040,markets,46.0
2041,botsford/the,46.0
2042,temperature,46.0
2043,shoot,46.0
2044,speak,46.0
2045,offering,45.0
2046,memes,45.0
2047,novel,45.0
2048,(photo:,45.0
2049,challenging,45.0
2050,queens,45.0
2051,apparently,45.0
2052,@hhypocrisy101:,45.0
2053,regular,45.0
2054,anyway,45.0
2055,homes,45.0
2056,2600+,45.0
2057,streets,45.0
2058,hai,45.0
2059,promoting,45.0
2060,plus,45.0
2061,shouldnt,45.0
2062,interesting,45.0
2063,"you",45.0
2064,league,45.0
2065,designed,45.0
2066,shortage,45.0
2067,ministry,45.0
2068,coz,45.0
2069,scientists,45.0
2070,youd,45.0
2071,graduation,45.0
2072,cope,45.0
2073,94%,45.0
2074,truly,45.0
2075,bank,45.0
2076,quick,45.0
2077,thoughts,45.0
2078,lots,45.0
2079,@renoomokri:,45.0
2080,named,45.0
2081,stress,45.0
2082,songs,45.0
2083,born,45.0
2084,@gatewaypundit,45.0
2085,degrees,45.0
2086,gold,44.0
2087,condolences,44.0
2088,kindly,44.0
2089,official,44.0
2090,youtube,44.0
2091,hotels,44.0
2092,degree,44.0
2093,later,44.0
2094,mark,44.0
2095,@who,44.0
2096,ordered,44.0
2097,beaches,44.0
2098,forced,44.0
2099,promises,44.0
2100,highly,44.0
2101,position,44.0
2102,bruh,44.0
2103,center,44.0
2104,tells,44.0
2105,town,44.0
2106,thick,44.0
2107,football,44.0
2108,conference,44.0
2109,@anjanaomkashyap:,44.0
2110,waste,44.0
2111,child,44.0
2112,punjab,44.0
2113,lankford,43.0
2114,isolate,43.0
2115,@rayleengale:,43.0
2116,president's,43.0
2117,survival,43.0
2118,products,43.0
2119,developed,43.0
2120,simply,43.0
2121,af,43.0
2122,exists,43.0
2123,stayathomechallenge,43.0
2124,attacks,43.0
2125,marsha,43.0
2126,@cnn,43.0
2127,voluntarily,43.0
2128,instagram,43.0
2129,tiktok,43.0
2130,strictly,43.0
2131,possibly,43.0
2132,mike,43.0
2133,non,43.0
2134,77,43.0
2135,lowkey,43.0
2136,afraid,43.0
2137,weed,43.0
2138,correctness,43.0
2139,west,43.0
2140,@actbrigitte:,43.0
2141,saturday,43.0
2142,blackburn,43.0
2143,ate,43.0
2144,kumasi,43.0
2145,process,42.0
2146,hyderabad,42.0
2147,overtime,42.0
2148,co/41y6u7rp,42.0
2149,we'll,42.0
2150,indoors,42.0
2151,conspiracy,42.0
2152,eu,42.0
2153,facebook,42.0
2154,(corona,42.0
2155,ourselves,42.0
2156,http,42.0
2157,fights,42.0
2158,famous,42.0
2159,rapunzel,42.0
2160,passed,42.0
2161,alive,42.0
2162,liverpool,42.0
2163,graduate,42.0
2164,appreciate,42.0
2165,cafes,42.0
2166,trips,42.0
2167,experiencing,42.0
2168,learning,42.0
2169,revenge,42.0
2170,@gejonathan,42.0
2171,letting,42.0
2172,tech,42.0
2173,bum,42.0
2174,distraction,42.0
2175,happens,42.0
2176,ride,42.0
2177,excellent,42.0
2178,wishing,41.0
2179,fate,41.0
2180,@ericfloyd:,41.0
2181,co/i25mtf5xfk,41.0
2182,rupauls,41.0
2183,selection,41.0
2184,khan,41.0
2185,mine,41.0
2186,st,41.0
2187,proposal,41.0
2188,heartfelt,41.0
2189,co/,41.0
2190,zero,41.0
2191,buddy,41.0
2192,co/3qm0t5wf6k,41.0
2193,co/frys2jcm4p,41.0
2194,couldn't,41.0
2195,fda,41.0
2196,co/ttkcj4xxa0,41.0
2197,@facebook,41.0
2198,drunk,41.0
2199,mass,41.0
2200,@natb201:,41.0
2201,concerned,41.0
2202,none,41.0
2203,@axios:,41.0
2204,frm,41.0
2205,respect,41.0
2206,trust,41.0
2207,@samstein:,41.0
2208,chinesevirus,41.0
2209,areas,41.0
2210,quarentinelife,41.0
2211,coronainpakistan,41.0
2212,ma,41.0
2213,asuu:,41.0
2214,coronas,41.0
2215,race:,41.0
2216,email,41.0
2217,da,40.0
2218,baiting,40.0
2219,example,40.0
2220,weird,40.0
2221,suffering,40.0
2222,favorite,40.0
2223,students:,40.0
2224,source,40.0
2225,she's,40.0
2226,confident,40.0
2227,predicted,40.0
2228,inhofe,40.0
2229,spoken,40.0
2230,claim,40.0
2231,nurses,40.0
2232,postponed,40.0
2233,foment,40.0
2234,recovered,40.0
2235,hurt,40.0
2236,announced,40.0
2237,millions,40.0
2238,changes,40.0
2239,@baeonda:,40.0
2240,ideas,40.0
2241,shop,40.0
2242,friday,40.0
2243,rich,40.0
2244,slow,40.0
2245,raged,40.0
2246,ignorance,40.0
2247,ig,40.0
2248,huh,40.0
2249,shared,40.0
2250,@b52malmet:,40.0
2251,supporter,40.0
2252,spikes,40.0
2253,funds,40.0
2254,(r-tn),40.0
2255,hello,40.0
2256,@huawei,40.0
2257,form,40.0
2258,drs,40.0
2259,conditions,40.0
2260,clapping,40.0
2261,co/g0011h78fm,40.0
2262,indiafightscorona,40.0
2263,sucks,40.0
2264,succumbed,40.0
2265,sindh,40.0
2266,events,40.0
2267,radio,40.0
2268,difference,40.0
2269,choose,40.0
2270,blamed,40.0
2271,ambulance,40.0
2272,york,40.0
2273,staysafe,40.0
2274,bloody,40.0
2275,27,40.0
2276,whos,39.0
2277,mandem,39.0
2278,nowhere,39.0
2279,ima,39.0
2280,approved,39.0
2281,sars,39.0
2282,audience,39.0
2283,faces,39.0
2284,supplies,39.0
2285,choice,39.0
2286,@chuckwoolery:,39.0
2287,sooo,39.0
2288,animals,39.0
2289,condition,39.0
2290,swear,39.0
2291,earnest,39.0
2292,approach,39.0
2293,haha,39.0
2294,teachers,39.0
2295,@mrjones_tm:,39.0
2296,@patpenn2:,39.0
2297,socialdistancing,39.0
2298,@ayobankole:,39.0
2299,egypt,39.0
2300,@maysssss_:,39.0
2301,thankful,39.0
2302,"body",39.0
2303,leading,39.0
2304,packing,39.0
2305,@3days3nights:,39.0
2306,wouldn't,39.0
2307,ik,39.0
2308,thermostat,39.0
2309,sadly,39.0
2310,quaranteens,39.0
2311,feelings,39.0
2312,kandi,39.0
2313,msnbc,39.0
2314,deep,39.0
2315,@xsqoof:,39.0
2316,500,39.0
2317,stopping,39.0
2318,russia,39.0
2319,updated,39.0
2320,monday,39.0
2321,wedding,39.0
2322,co/bqohxl5txn,39.0
2323,corona),39.0
2324,@pamkeithfl:,39.0
2325,thru,39.0
2326,raised,39.0
2327,bunch,39.0
2328,laid,39.0
2329,kid,39.0
2330,crap,39.0
2331,horrible,39.0
2332,bar,39.0
2333,"beer",39.0
2334,solution,39.0
2335,crossing,39.0
2336,@pinnyloketch,38.0
2337,addition,38.0
2338,fightcovid19,38.0
2339,@adefolaamoo:,38.0
2340,helpful,38.0
2341,"corona:",38.0
2342,weve,38.0
2343,"march",38.0
2344,@musanv18:,38.0
2345,joints,38.0
2346,aids,38.0
2347,letter,38.0
2348,k,38.0
2349,60,38.0
2350,immed,38.0
2351,releasing,38.0
2352,joyous,38.0
2353,stream,38.0
2354,red,38.0
2355,@ghonim:,38.0
2356,deny,38.0
2357,telecom,38.0
2358,disaster,38.0
2359,chief,38.0
2360,view,38.0
2361,isolating,38.0
2362,ignored,38.0
2363,debt,38.0
2364,kung,38.0
2365,politics,38.0
2366,employees,38.0
2367,@pinnyloketch:,38.0
2368,behead,38.0
2369,built,38.0
2370,thursday,38.0
2371,crown-like,38.0
2372,doubt,38.0
2373,trumpvirus,38.0
2374,pic,38.0
2375,22,38.0
2376,racist-in-chief,38.0
2377,tour,38.0
2378,pr,38.0
2379,necessary,38.0
2380,cor,38.0
2381,elkharseety,38.0
2382,american-egyptian,38.0
2383,king,37.0
2384,d-does,37.0
2385,co/igpfdhtcdm,37.0
2386,@zhantafa:,37.0
2387,event,37.0
2388,agreed,37.0
2389,https:/,37.0
2390,m-mean,37.0
2391,@stonersuh:,37.0
2392,calm,37.0
2393,co/gdipokqozb,37.0
2394,@thomaskaine5:,37.0
2395,upon,37.0
2396,wouldnt,37.0
2397,created,37.0
2398,honest,37.0
2399,lying,37.0
2400,appreciation,37.0
2401,cells,37.0
2402,exterior,37.0
2403,immunity,37.0
2404,127,37.0
2405,election,37.0
2406,empty,37.0
2407,central,37.0
2408,poc,37.0
2409,desperate,37.0
2410,se,37.0
2411,sort,37.0
2412,precautionary,37.0
2413,financial,37.0
2414,points,37.0
2415,keys,37.0
2416,vulnerable,37.0
2417,co/jezoji7e0v,37.0
2418,mate,37.0
2419,easy,37.0
2420,orleans,37.0
2421,cross,37.0
2422,13,37.0
2423,cancer,37.0
2424,gift,37.0
2425,explain,37.0
2426,n-neo,37.0
2427,worldwide,37.0
2428,refuse,37.0
2429,stayathome,37.0
2430,holding,37.0
2431,kidding,37.0
2432,@aaronneedshelp:,37.0
2433,@kaypoisson1:,37.0
2434,luck,37.0
2435,older,36.0
2436,effects,36.0
2437,senators,36.0
2438,@jenanmoussa:,36.0
2439,oftenas,36.0
2440,ten,36.0
2441,hates,36.0
2442,holds,36.0
2443,pieces,36.0
2444,whoever,36.0
2445,awareness:,36.0
2446,purposefully,36.0
2447,thin,36.0
2448,ban,36.0
2449,basically,36.0
2450,@tshi_nakanyane:,36.0
2451,"3",36.0
2452,lungs,36.0
2453,@mbuhari,36.0
2454,rona,36.0
2455,unprecedented,36.0
2456,@_nomics:,36.0
2457,21,36.0
2458,revelation,36.0
2459,xenophobia,36.0
2460,aware,36.0
2461,gas,36.0
2462,listening,36.0
2463,anti,36.0
2464,tn_toge,36.0
2465,worke,36.0
2466,presenting,36.0
2467,corona-like,36.0
2468,block,36.0
2469,31,36.0
2470,restaurants,36.0
2471,oth,36.0
2472,levels,36.0
2473,iwashedmyhands,36.0
2474,institution,36.0
2475,military,36.0
2476,@drdenagrayson:,36.0
2477,began,36.0
2478,sell,36.0
2479,granted,36.0
2480,active,35.0
2481,version,35.0
2482,sit,35.0
2483,hrs,35.0
2484,plz,35.0
2485,base,35.0
2486,co/jqagqvves1,35.0
2487,@andrewpollackfl:,35.0
2488,tangled,35.0
2489,personally,35.0
2490,bbcqt,35.0
2491,secto,35.0
2492,@ajemaineclement:,35.0
2493,era,35.0
2494,british,35.0
2495,outta,35.0
2496,:(,35.0
2497,coron,35.0
2498,useful,35.0
2499,anime,35.0
2500,awesome,35.0
2501,gates,35.0
2502,commercial,35.0
2503,demonizing,35.0
2504,grandparents,35.0
2505,abt,35.0
2506,stock,35.0
2507,i'd,35.0
2508,grateful,35.0
2509,missed,35.0
2510,@timmurtaugh:,35.0
2511,celebs,35.0
2512,@jackie__29:,35.0
2513,informal,35.0
2514,pathetic,35.0
2515,present,35.0
2516,warehouse,35.0
2517,balcony,35.0
2518,recently,35.0
2519,pts,35.0
2520,hudgens,35.0
2521,welcome,35.0
2522,wired,35.0
2523,messing,35.0
2524,bastard,35.0
2525,stayhome,35.0
2526,"me",35.0
2527,coronavi,35.0
2528,senate,34.0
2529,bat,34.0
2530,"people's",34.0
2531,organizing,34.0
2532,sometimes,34.0
2533,@grantstern:,34.0
2534,village,34.0
2535,ni,34.0
2536,michael,34.0
2537,"other",34.0
2538,pronounce,34.0
2539,anybody,34.0
2540,pan,34.0
2541,flying,34.0
2542,@pushacee:,34.0
2543,towards,34.0
2544,co/cns0qqgnok,34.0
2545,fo,34.0
2546,finna,34.0
2547,natasha,34.0
2548,dm,34.0
2549,screwed,34.0
2550,vacation,34.0
2551,greek,34.0
2552,trending,34.0
2553,movement,34.0
2554,pain,34.0
2555,resident,34.0
2556,warning,34.0
2557,unity,34.0
2558,"coffee",34.0
2559,managed,34.0
2560,sweet,34.0
2561,major,34.0
2562,parting,34.0
2563,delivery,34.0
2564,rss,34.0
2565,reduce,34.0
2566,shelves,34.0
2567,democratic,34.0
2568,closures,34.0
2569,@marco_acortes:,34.0
2570,drugs,34.0
2571,"coronavirus",34.0
2572,alright,34.0
2573,claims,34.0
2574,content,34.0
2575,energy,34.0
2576,romanoff,34.0
2577,co/6tfmgwqs2f,34.0
2578,access,34.0
2579,fund,34.0
2580,@kandi,34.0
2581,britains,34.0
2582,nick,34.0
2583,@nightlypolitics:,34.0
2584,we've,34.0
2585,sayhername,34.0
2586,@goshromanoff:,34.0
2587,mention,34.0
2588,design,34.0
2589,handled,34.0
2590,reaction,34.0
2591,hasn't,34.0
2592,ha,34.0
2593,documented,34.0
2594,coke,34.0
2595,burruss-tucker,34.0
2596,shaking,33.0
2597,mem,33.0
2598,posted,33.0
2599,raise,33.0
2600,door,33.0
2601,bae,33.0
2602,"spring-breakers:",33.0
2603,@fernandoamandi:,33.0
2604,@itspinsmybrain:,33.0
2605,border,33.0
2606,simon,33.0
2607,streaming,33.0
2608,spot,33.0
2609,duty,33.0
2610,respiratory,33.0
2611,worked,33.0
2612,met,33.0
2613,pune,33.0
2614,podcast,33.0
2615,followers,33.0
2616,easily,33.0
2617,services,33.0
2618,watched,33.0
2619,@simon_nixon:,33.0
2620,@public_citizen:,33.0
2621,ruin,33.0
2622,card,33.0
2623,discipline,33.0
2624,@borisjohnson,33.0
2625,togetherwecan,33.0
2626,@bertkreischer:,33.0
2627,amidst,33.0
2628,"pandemic",33.0
2629,campaign,33.0
2630,@thelindsayellis:,33.0
2631,spent,33.0
2632,reporting,33.0
2633,indeed,33.0
2634,forever,33.0
2635,peshawar,33.0
2636,stories,33.0
2637,title,33.0
2638,according,33.0
2639,sexy,33.0
2640,supporting,33.0
2641,serve,33.0
2642,cry,33.0
2643,muslim,33.0
2644,christ,33.0
2645,@cbsnews,33.0
2646,primary,33.0
2647,est,33.0
2648,planet,33.0
2649,cars,33.0
2650,blue,33.0
2651,racial,33.0
2652,grocery,33.0
2653,@brent_rooker19:,33.0
2654,propaganda,33.0
2655,abil,33.0
2656,2019,33.0
2657,clap,33.0
2658,suck,33.0
2659,calming,33.0
2660,who's,33.0
2661,fauci,33.0
2662,morons,33.0
2663,americans:,33.0
2664,@sureshnakhua:,32.0
2665,lucky,32.0
2666,"curve",32.0
2667,acts,32.0
2668,virus-,32.0
2669,concerns,32.0
2670,signed,32.0
2671,reject,32.0
